##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
622.7114, 22.17023
623.1935, 25.08896
623.6756, 29.18002
624.1577, 33.18805
624.6398, 33.36243
625.1219, 27.14822
625.6041, 23.13550
626.0862, 23.38324
626.5683, 24.42755
627.0504, 25.93375
627.5325, 26.71426
628.0146, 23.38824
628.4968, 13.22067
628.9789, 4.388153
629.4610, 6.179077
629.9431, 12.80273
630.4252, 11.54349
630.9073, 1.794220
631.3895, 5.548248
631.8716, 2.811218
632.3537, 6.418060
632.8358, 10.99350
633.3179, 7.201416
633.8000, 6.223785
634.2822, 9.244598
634.7643, 14.08173
635.2464, 23.03491
635.7285, 32.42764
636.2106, 34.34021
636.6927, 24.07233
637.1749, 13.12115
637.6570, 14.10635
638.1391, 20.71475
638.6212, 16.56281
639.1033, 0.8280640
639.5854, 8.224091
640.0676, 2.770935
640.5497, 25.49680
641.0318, 34.75491
641.5139, 21.25821
641.9960, 12.23294
642.4781, 10.77246
642.9603, 10.61203
643.4424, 9.007690
643.9245, 6.533020
644.4066, 4.864410
644.8887, 4.864410
645.3708, 4.284760
645.8530, 0.1273500
646.3351, 6.124115
646.8172, 9.667725
647.2993, 9.143890
647.7814, 6.167664
648.2635, 1.542145
648.7457, 3.255676
649.2278, 3.865936
649.7099, 5.019409
650.1920, 6.213623
650.6741, 10.90939
651.1563, 24.33789
651.6384, 20.87921
652.1205, 9.005493
652.6026, 3.394836
653.0847, 8.582611
653.5668, 17.12677
654.0490, 24.40552
654.5311, 31.01111
655.0132, 39.43509
655.4953, 49.04987
655.9774, 53.84946
656.4595, 50.36316
656.9417, 41.87399
657.4238, 34.65253
657.9059, 28.40759
658.3880, 24.39157
658.8701, 23.84290
659.3522, 24.23724
659.8344, 25.00452
