##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
505.7418, 3.955688
506.2239, 0.6580810
506.7060, 0.1602170
507.1881, 2.301941
507.6702, 4.527344
508.1523, 4.423523
508.6345, 3.052734
509.1166, 2.058105
509.5987, 1.678772
510.0808, 1.766174
510.5629, 2.279114
511.0450, 3.181213
511.5272, 4.016113
512.0093, 5.205688
512.4914, 5.840698
512.9735, 5.303711
513.4556, 4.206787
513.9377, 3.195007
514.4199, 2.501770
514.9020, 2.257446
515.3841, 2.783752
515.8662, 4.316589
516.3483, 5.105591
516.8304, 4.536072
517.3126, 3.691711
517.7947, 2.568909
518.2768, 1.563599
518.7589, 1.326111
519.2410, 2.147522
519.7231, 3.271301
520.2053, 3.556030
520.6874, 2.925110
521.1695, 2.434082
521.6516, 2.410706
522.1337, 2.355835
522.6158, 1.783752
523.0980, 0.9034420
523.5801, 0.3269040
524.0622, 0.3415530
524.5443, 0.6574100
525.0264, 1.055908
525.5085, 1.532959
525.9907, 2.163574
526.4728, 3.183533
526.9549, 3.917236
527.4370, 3.037720
527.9191, 0.1279910
528.4012, 1.696899
528.8834, 1.407959
529.3655, 0.5405880
529.8476, 6.0486000E-02
530.3297, 0.3092040
530.8118, 0.3197020
531.2939, 0.1706540
531.7761, 0.0000000E+00
532.2582, 0.2092900
532.7403, 1.329895
533.2224, 1.915283
533.7045, 1.239502
534.1866, 0.4079590
534.6688, 0.5914310
535.1509, 1.476501
535.6330, 1.835144
536.1151, 0.6040040
536.5972, 1.347778
537.0793, 1.315430
537.5615, 1.443176
538.0436, 3.115662
538.5257, 1.505798
539.0078, 0.7540280
539.4899, 1.351685
539.9720, 0.3680420
540.4542, 0.7902220
540.9363, 1.656860
541.4184, 2.187500
541.9005, 2.188232
542.3826, 1.685852
542.8647, 1.222656
543.3469, 1.135132
543.8290, 1.202148
544.3111, 0.7258910
544.7932, 0.9250490
545.2753, 1.590271
545.7574, 2.8870000E-02
546.2396, 2.026917
546.7217, 2.601929
547.2038, 1.875244
547.6859, 1.217957
548.1680, 1.637756
548.6501, 2.809143
549.1323, 3.234863
549.6144, 2.268860
550.0965, 1.663391
550.5786, 1.725952
551.0607, 2.078491
551.5428, 2.521790
552.0250, 3.004211
552.5071, 3.501587
552.9892, 4.115662
553.4713, 4.692505
553.9534, 4.615051
554.4355, 3.684082
554.9177, 3.243103
555.3998, 4.312195
555.8819, 5.643127
556.3640, 5.443909
556.8461, 3.490662
557.3282, 1.799072
557.8104, 1.049866
558.2925, 1.016479
558.7746, 1.710876
559.2567, 2.999146
559.7388, 4.126343
560.2209, 4.641724
560.7031, 4.655273
561.1852, 4.528198
561.6673, 4.148804
562.1494, 3.777771
562.6315, 3.494385
563.1136, 3.157043
563.5958, 2.485474
564.0779, 1.626221
564.5600, 1.088989
565.0421, 1.245422
565.5242, 1.962097
566.0063, 2.963989
566.4885, 4.611572
566.9706, 5.471802
567.4527, 4.172302
567.9348, 2.731628
568.4169, 2.851868
568.8990, 4.354187
569.3812, 5.388489
569.8633, 4.583862
570.3454, 2.963257
570.8275, 1.985413
571.3096, 1.626953
571.7917, 1.305237
572.2739, 0.7547610
572.7560, 0.1318360
573.2381, 0.3701780
573.7202, 0.9152220
574.2023, 0.7293700
574.6844, 1.000305
575.1666, 2.845886
575.6487, 4.090881
576.1308, 4.622925
576.6129, 4.160828
577.0950, 2.490540
577.5771, 0.4828490
578.0593, 0.2938840
578.5414, 3.057251
579.0235, 4.525940
579.5056, 3.376587
579.9877, 1.911560
580.4698, 0.9213870
580.9520, 0.4312740
581.4341, 0.3359380
581.9162, 0.6737060
582.3983, 1.203796
582.8804, 1.718506
583.3625, 2.191650
583.8447, 2.247131
584.3268, 1.609131
584.8089, 0.9771730
585.2910, 1.357117
585.7731, 2.590515
586.2552, 2.885193
586.7374, 1.147827
587.2195, 0.3232420
587.7016, 0.1105960
588.1837, 1.056519
588.6658, 2.067810
589.1479, 2.551392
589.6301, 2.406372
590.1122, 1.267334
590.5943, 1.144775
591.0764, 1.814392
591.5585, 1.411255
592.0406, 3.883667
592.5228, 3.920532
593.0049, 2.899841
593.4870, 2.555420
593.9691, 3.312866
594.4512, 3.997253
594.9333, 3.538818
595.4155, 2.268433
595.8976, 1.054321
596.3797, 0.1942750
596.8618, 0.7399290
597.3439, 0.3924560
597.8260, 2.482727
598.3082, 3.427185
598.7903, 2.746521
599.2724, 2.064209
599.7545, 1.804260
600.2366, 1.864502
600.7188, 2.358887
601.2009, 3.149536
601.6830, 3.591492
602.1651, 3.183960
602.6472, 2.182434
603.1293, 1.832336
603.6115, 2.884521
604.0936, 3.513184
604.5757, 3.418335
605.0578, 3.056763
605.5399, 2.478333
606.0220, 1.860535
606.5042, 1.628296
606.9863, 2.175842
607.4684, 3.001465
607.9505, 3.264465
608.4326, 2.978516
608.9147, 2.674561
609.3969, 2.483276
609.8790, 2.339111
610.3611, 2.280457
610.8432, 2.279297
611.3253, 1.881409
611.8074, 0.4439700
612.2896, 0.7774660
612.7717, 1.072266
613.2538, 0.7200930
613.7359, 0.1783450
614.2180, 0.4054570
614.7001, 1.111023
615.1823, 2.145935
615.6644, 3.565002
616.1465, 4.034485
616.6286, 2.572205
617.1107, 1.506653
617.5928, 1.832153
618.0750, 2.585754
618.5571, 2.714722
619.0392, 2.038940
619.5213, 1.301270
620.0034, 1.082581
620.4855, 1.202087
620.9677, 1.196106
621.4498, 1.038147
621.9319, 1.149109
622.4140, 1.831238
622.8961, 2.820068
623.3782, 3.562256
623.8604, 4.032898
624.3425, 4.378235
624.8246, 4.468201
625.3067, 4.564819
625.7888, 5.011963
626.2709, 5.599854
626.7531, 5.721313
627.2352, 5.063904
627.7173, 4.165894
628.1994, 4.158813
628.6815, 5.312439
629.1636, 5.783020
629.6458, 4.920837
