##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
711.6843, 36.85901
712.1664, 32.79761
712.6485, 26.13879
713.1306, 22.81616
713.6127, 27.75452
714.0948, 33.63757
714.5770, 35.66785
715.0591, 32.80981
715.5412, 36.56873
716.0233, 50.91052
716.5054, 64.71228
716.9875, 70.39282
717.4697, 67.95850
717.9518, 62.73389
718.4339, 54.38916
718.9160, 47.05835
719.3981, 47.64648
719.8802, 52.08533
720.3624, 51.79407
720.8445, 42.27661
721.3266, 33.78894
721.8087, 32.26306
722.2908, 35.88696
722.7729, 42.05334
723.2551, 57.58325
723.7372, 66.45251
724.2193, 62.59863
724.7014, 51.44678
725.1835, 46.07336
725.6656, 48.41382
726.1478, 51.21521
726.6299, 50.94214
727.1120, 49.61597
727.5941, 55.69922
728.0762, 68.18127
