##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
694.6973, 0.3677160
695.1794, 1.259268
695.6615, 1.614407
696.1436, 0.4242520
696.6257, 2.996160
697.1078, 4.187076
697.5900, 4.212521
698.0721, 3.622477
698.5542, 2.436922
699.0363, 1.502468
699.5184, 1.424923
700.0005, 2.010108
700.4827, 2.592295
700.9648, 3.337440
701.4469, 3.792617
701.9290, 3.704704
702.4111, 3.558001
702.8932, 3.833598
703.3754, 4.238127
703.8575, 4.005547
704.3396, 2.856238
704.8217, 1.604625
705.3038, 1.624958
705.7859, 2.675159
706.2681, 3.672044
706.7502, 4.588396
707.2323, 4.983925
707.7144, 4.468211
708.1965, 3.394811
708.6786, 2.524186
709.1607, 1.793861
709.6428, 1.450065
710.1249, 1.825485
710.6071, 2.274625
711.0892, 2.196571
711.5713, 2.008872
712.0534, 2.562497
712.5355, 4.187152
713.0176, 5.873664
713.4998, 5.925318
713.9819, 4.677773
714.4640, 4.026192
714.9461, 4.129278
715.4282, 4.073265
715.9103, 3.316288
716.3925, 2.387129
716.8746, 2.139288
717.3567, 2.631851
717.8388, 3.160524
718.3209, 4.296336
718.8030, 4.767775
719.2852, 3.182501
719.7673, 0.9280250
720.2494, 0.1324730
720.7315, 0.6593810
721.2136, 2.177744
721.6957, 4.515738
722.1779, 7.013283
722.6600, 6.390524
723.1421, 2.111048
723.6242, 0.4538290
724.1063, 1.009905
724.5884, 3.481471
725.0706, 3.583546
725.5527, 1.521328
726.0348, 0.2223620
726.5169, 0.4858960
726.9990, 0.7331600
727.4811, 4.1561998E-02
727.9633, 0.6848320
728.4454, 0.1874840
728.9275, 1.383744
729.4096, 2.688079
729.8917, 2.771052
730.3738, 2.199899
730.8560, 1.875680
731.3381, 1.747863
731.8202, 1.818754
732.3023, 1.996259
732.7844, 2.608095
733.2665, 4.350117
733.7487, 6.692339
734.2308, 7.644485
734.7129, 6.377956
735.1950, 5.297539
735.6771, 4.590465
736.1592, 4.493126
736.6414, 5.979709
737.1235, 8.155029
737.6056, 8.679123
738.0877, 6.439617
738.5698, 3.556190
739.0519, 3.196824
739.5341, 5.036548
740.0162, 6.188243
740.4983, 6.505457
740.9804, 6.067668
741.4625, 4.390593
741.9446, 2.385967
742.4268, 1.743367
742.9089, 2.692598
743.3910, 3.333941
743.8731, 3.037138
744.3552, 2.917404
