##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
576.0879, 19.92455
576.5700, 17.39243
577.0521, 15.62950
577.5342, 17.00777
578.0164, 21.55478
578.4985, 23.73476
578.9806, 21.01218
579.4627, 17.39801
579.9448, 18.05049
580.4269, 22.34019
580.9091, 24.17676
581.3912, 20.64064
581.8733, 15.90482
582.3554, 11.50183
582.8375, 8.236099
583.3196, 7.704834
583.8018, 10.58623
584.2839, 16.28391
584.7660, 24.55031
585.2481, 38.60818
585.7302, 45.77245
586.2123, 40.11035
586.6945, 34.01404
587.1766, 32.66714
587.6587, 34.48807
588.1408, 35.99028
588.6229, 35.81549
589.1050, 34.16389
589.5872, 30.18256
590.0693, 24.05504
590.5514, 22.09366
591.0335, 27.83426
591.5156, 33.96495
591.9977, 31.06415
592.4799, 20.72284
592.9620, 15.44987
593.4441, 19.95522
593.9262, 26.96974
594.4083, 35.12373
594.8904, 42.23929
595.3726, 43.26471
595.8547, 36.63153
596.3368, 26.78539
596.8189, 19.80466
597.3010, 15.58496
597.7831, 14.73241
598.2653, 20.22075
598.7474, 26.12570
599.2295, 32.47945
599.7116, 37.49367
600.1937, 37.92329
600.6758, 31.89685
601.1580, 24.82170
601.6401, 23.40790
602.1222, 26.25519
602.6043, 25.36183
603.0864, 18.20731
603.5685, 12.81973
604.0507, 18.18762
604.5328, 32.50677
605.0149, 37.64401
605.4970, 25.26404
605.9791, 13.58798
606.4612, 9.029709
606.9434, 8.712418
607.4255, 10.14009
607.9076, 12.13339
608.3897, 12.16742
608.8718, 6.440216
609.3539, 4.805710
609.8361, 9.449677
610.3182, 2.845093
610.8003, 2.667450
611.2824, 1.484146
611.7645, 1.916580
612.2466, 3.715790
612.7288, 3.446625
613.2109, 0.8701780
613.6930, 16.35339
614.1751, 34.86961
614.6572, 40.08469
615.1393, 30.90140
615.6215, 19.70236
616.1036, 13.00749
616.5857, 10.97365
