##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
685.117, 5.429
685.599, 24.133
686.081, 145.215
686.563, 219.416
687.045, 219.373
687.527, 192.395
688.009, 158.727
688.491, 107.674
688.973, 117.261
689.456, 207.167
689.938, 311.378
690.420, 344.393
690.902, 321.367
691.384, 304.964
691.866, 312.169
692.348, 322.917
692.830, 316.251
693.312, 298.778
693.795, 280.529
694.277, 271.802
694.759, 256.500
695.241, 212.512
695.723, 154.379
696.205, 136.879
696.687, 193.945
697.169, 242.006
697.652, 252.983
698.134, 231.783
698.616, 232.461
699.098, 259.080
699.580, 277.920
700.062, 260.828
700.544, 218.534
701.026, 170.532
701.508, 120.087
701.991, 90.130
702.473, 121.947
702.955, 169.406
703.437, 179.307
703.919, 130.854
704.401, 97.847
704.883, 127.455
705.365, 165.961
705.847, 156.624
706.330, 48.475
706.812, 9.329
707.294, 76.630
707.776, 181.195
708.258, 197.906
708.740, 131.307
709.222, 93.286
709.705, 127.365
710.187, 183.609
710.669, 194.379
711.151, 167.679
711.633, 129.871
712.115, 73.679
712.597, 35.604
713.079, 51.123
713.561, 108.471
714.044, 143.212
714.526, 124.856
715.008, 100.959
715.490, 81.947
715.972, 67.911
716.454, 69.630
716.936, 89.585
717.418, 115.656
717.901, 144.422
718.383, 173.073
718.865, 185.689
719.347, 180.865
719.829, 185.524
720.311, 132.524
720.793, 196.249
721.275, 231.530
721.757, 239.987
722.240, 141.267
722.722, 180.924
723.204, 165.125
723.686, 147.039
724.168, 206.170
724.650, 123.003
725.132, 180.893
725.614, 182.466
726.096, 210.083
726.579, 182.298
727.061, 171.240
727.543, 215.871
728.025, 229.535
728.507, 194.623
728.989, 223.564
729.471, 138.393
729.953, 162.624
730.435, 90.551
730.918, 94.170
731.400, 149.869
731.882, 170.217
732.364, 89.470
732.846, 33.125
733.328, 42.784
733.810, 109.187
734.292, 155.004
734.775, 179.524
735.257, 186.170
735.739, 166.028
736.221, 129.870
736.703, 116.375
737.185, 124.094
737.667, 125.416
738.149, 86.780
738.631, 38.676
739.114, 12.495
739.596, 14.066
740.078, 27.320
740.560, 47.284
741.042, 78.151
741.524, 28.443
742.006, 84.837
742.489, 115.464
742.971, 121.708
743.453, 30.571
743.935, 65.213
744.417, 49.602
744.899, 31.878
745.381, 84.152
745.863, 7.147
746.345, 58.292
746.828, 58.259
747.310, 81.650
747.792, 54.359
748.274, 42.685
748.756, 81.724
749.238, 92.664
749.720, 59.540
750.202, 84.463
750.684, 5.694
751.167, 17.918
751.649, 69.403
752.131, 38.847
752.613, 64.560
753.095, 16.191
753.577, 3.737
754.059, 1.776
754.541, 22.666
755.023, 64.328
755.506, 82.411
755.988, 41.343
756.470, 11.591
756.952, 65.406
757.434, 111.395
757.916, 126.608
758.398, 86.826
758.880, 51.202
759.362, 43.016
759.845, 58.463
760.327, 60.232
760.809, 47.004
761.291, 41.610
761.773, 72.479
762.255, 117.398
762.737, 136.586
763.219, 130.001
763.702, 112.166
764.184, 72.435
764.666, 40.572
765.148, 44.693
765.630, 101.496
766.112, 128.517
766.594, 107.874
767.076, 71.004
767.558, 27.856
768.041, 25.122
768.523, 24.845
769.005, 37.656
769.487, 109.375
769.969, 139.039
770.451, 137.449
770.933, 125.234
771.416, 103.369
771.898, 83.335
772.380, 68.211
772.862, 61.177
773.344, 66.072
773.826, 95.799
774.308, 119.547
774.790, 141.153
775.272, 152.979
775.755, 141.350
776.237, 103.612
776.719, 75.245
777.201, 61.478
777.683, 59.761
778.165, 72.094
778.647, 93.497
779.129, 111.312
779.612, 117.738
780.094, 126.195
780.576, 152.724
781.058, 184.643
781.540, 200.663
782.022, 197.515
782.504, 173.479
782.986, 111.191
783.468, 37.337
783.951, 15.571
784.433, 49.370
784.915, 81.549
785.397, 94.778
785.879, 97.600
786.361, 108.218
786.843, 121.046
787.325, 118.920
787.807, 60.289
788.290, 19.356
788.772, 49.705
789.254, 131.130
789.736, 194.356
790.218, 228.215
790.700, 251.345
791.182, 271.358
791.664, 283.446
792.146, 259.650
792.629, 197.955
793.111, 152.412
793.593, 161.990
794.075, 191.749
794.557, 178.352
795.039, 133.354
795.521, 105.219
796.003, 135.399
796.485, 172.958
796.968, 197.941
797.450, 208.720
797.932, 198.227
798.414, 143.605
798.896, 111.733
799.378, 143.441
799.860, 221.333
800.343, 223.246
800.825, 150.940
801.307, 81.309
801.789, 49.456
802.271, 55.282
802.753, 132.213
803.235, 266.185
803.717, 340.231
804.199, 241.925
804.682, 127.428
805.164, 82.439
805.646, 107.368
806.128, 114.027
806.610, 95.967
807.092, 76.019
807.574, 67.491
808.056, 68.396
808.539, 64.200
809.021, 56.569
809.503, 57.180
809.985, 89.073
810.467, 123.178
810.949, 120.884
811.431, 78.341
811.913, 60.942
812.395, 134.659
812.878, 186.690
813.360, 149.869
813.842, 16.388
814.324, 27.406
814.806, 34.025
815.288, 102.799
