##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
746.0046, 4.293457
746.4867, 5.773926
746.9688, 7.048950
747.4509, 7.786743
747.9330, 7.565918
748.4152, 7.042114
748.8973, 6.349121
749.3794, 5.539917
749.8615, 4.749512
750.3436, 3.823730
750.8257, 3.282837
751.3079, 3.475708
751.7900, 4.094482
752.2721, 3.872192
752.7542, 2.823730
753.2363, 1.977051
753.7184, 1.364380
754.2006, 1.059570
754.6827, 1.820068
755.1648, 3.346069
755.6469, 4.339355
756.1290, 3.672119
756.6111, 2.721191
757.0933, 2.233154
757.5754, 2.206055
758.0575, 1.953857
758.5396, 1.112793
759.0217, 0.5218510
759.5038, 0.6293950
759.9860, 1.330933
760.4681, 1.404053
760.9502, 0.7812500
761.4323, 0.2673340
761.9144, 0.5375980
762.3965, 1.222656
762.8787, 1.710693
763.3608, 1.975464
763.8429, 2.062988
764.3250, 1.560547
764.8071, 1.220825
765.2892, 1.748901
765.7714, 3.387695
766.2535, 4.412231
766.7356, 4.526611
767.2177, 4.300781
767.6998, 3.897583
768.1819, 3.274048
768.6641, 3.605957
769.1462, 5.076904
769.6283, 6.083740
770.1104, 4.377197
770.5925, 1.496704
771.0746, 0.6455080
771.5568, 2.191528
772.0389, 3.933472
772.5210, 4.692383
773.0031, 4.942261
773.4852, 5.026855
773.9673, 4.936768
774.4495, 4.793945
774.9316, 4.640869
775.4137, 4.365479
775.8958, 3.802734
776.3779, 2.911133
776.8600, 2.225830
777.3422, 1.734253
777.8243, 1.675049
778.3064, 2.621826
778.7885, 4.103516
779.2706, 5.393677
779.7527, 6.479004
780.2349, 6.710938
780.7170, 4.895996
781.1991, 2.540771
781.6812, 0.9914550
782.1633, 0.9351810
782.6454, 0.8348390
783.1276, 0.8214110
783.6097, 0.6147460
784.0918, 0.4471440
784.5739, 2.406372
785.0560, 2.602783
785.5381, 0.4979250
786.0203, 1.859741
786.5024, 2.054077
786.9845, 0.9584960
787.4666, 5.1146999E-02
787.9487, 0.3663330
788.4308, 0.5295410
