##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
525.4227, 5.986176
525.9048, 8.135590
526.3870, 10.83159
526.8691, 9.277939
527.3513, 3.874771
527.8334, 0.2369610
528.3155, 5.104691
528.7976, 13.25381
529.2797, 16.62209
529.7618, 13.64156
530.2440, 9.948013
530.7261, 7.590492
531.2082, 6.716034
531.6903, 7.840164
532.1724, 15.00994
532.6545, 20.02689
533.1367, 18.31810
533.6188, 11.99370
534.1009, 8.555420
534.5830, 13.00913
535.0651, 16.77808
535.5472, 16.54122
536.0294, 11.46475
536.5115, 8.479362
536.9936, 8.438362
537.4757, 9.198318
537.9578, 9.137321
538.4399, 8.664566
538.9221, 7.321762
539.4042, 4.473755
539.8863, 1.791283
540.3684, 3.302635
540.8505, 8.557037
541.3326, 12.06651
541.8148, 10.21605
542.2969, 6.077515
542.7790, 5.427208
543.2611, 7.878716
543.7432, 10.29813
544.2253, 11.20516
544.7075, 10.66331
545.1896, 8.126823
545.6717, 3.152046
546.1538, 0.8691020
546.6359, 1.697327
547.1180, 0.7034530
547.6002, 0.6200870
548.0823, 1.775322
548.5644, 3.410477
549.0465, 6.391800
549.5286, 9.981438
550.0107, 11.99751
550.4929, 11.59837
550.9750, 10.88516
551.4571, 10.52755
551.9392, 10.49993
552.4213, 9.842659
552.9034, 8.146019
553.3856, 7.186989
553.8677, 9.388443
554.3498, 14.32587
554.8319, 16.60011
555.3140, 15.35098
555.7961, 12.56123
556.2783, 10.05602
556.7604, 8.043175
557.2425, 7.208008
557.7246, 8.443184
558.2067, 10.29834
558.6888, 12.12960
559.1710, 13.56761
559.6531, 13.29324
560.1352, 8.288635
560.6173, 3.256248
561.0994, 0.9322660
561.5815, 1.674400
562.0637, 3.820976
562.5458, 9.802795
563.0279, 15.42372
563.5100, 17.49913
563.9921, 14.00034
564.4742, 10.74761
564.9564, 7.312401
565.4385, 4.611275
565.9206, 4.818481
566.4027, 8.730408
566.8848, 11.41765
567.3669, 10.88008
567.8491, 8.415543
568.3312, 8.699463
568.8133, 11.60677
569.2954, 13.87563
569.7775, 13.02052
570.2596, 10.19416
570.7418, 6.914284
571.2239, 3.189644
571.7060, 0.8229830
572.1881, 2.526772
572.6702, 5.724342
573.1523, 7.475357
573.6345, 6.359253
574.1166, 4.919914
574.5987, 3.597443
575.0808, 2.474442
575.5629, 1.907707
576.0450, 2.675194
576.5272, 3.200447
577.0093, 2.892227
577.4914, 1.982773
577.9735, 2.166664
578.4556, 4.232452
578.9377, 6.053360
579.4199, 6.676476
579.9020, 6.179588
580.3841, 6.440453
580.8662, 7.684822
581.3483, 8.493744
581.8304, 6.813499
582.3126, 3.420570
582.7947, 0.9018250
583.2768, 0.3733980
583.7589, 0.3242030
584.2410, 1.587273
584.7231, 4.850876
585.2053, 8.456367
585.6874, 15.28144
586.1696, 19.26560
586.6517, 14.44460
587.1338, 3.117844
587.6159, 4.460075
588.0980, 2.794212
588.5801, 0.6500090
589.0623, 2.945030
589.5444, 3.911804
590.0265, 4.393425
590.5086, 3.340897
590.9907, 3.142204
591.4728, 6.837761
591.9550, 15.77950
592.4371, 19.03588
592.9192, 14.51668
593.4013, 7.155144
593.8834, 3.792305
594.3655, 4.016434
594.8477, 5.367363
595.3298, 7.530586
595.8119, 9.809860
596.2940, 11.48614
596.7761, 12.50753
597.2582, 12.75365
597.7404, 10.90795
598.2225, 9.223335
598.7046, 10.01617
599.1867, 13.34365
599.6688, 14.99940
600.1509, 12.14967
600.6331, 8.385994
601.1152, 6.052017
601.5973, 6.259048
602.0794, 5.207909
602.5615, 1.183159
603.0436, 2.444809
603.5258, 0.7331160
604.0079, 7.933891
604.4900, 12.45243
604.9721, 10.00924
605.4542, 4.282280
605.9363, 2.560707
606.4185, 4.505074
606.9006, 7.026062
607.3827, 9.437790
607.8648, 11.13902
608.3469, 10.29815
608.8290, 7.461800
609.3112, 5.750015
609.7933, 8.796509
610.2754, 12.41027
610.7575, 13.18977
611.2396, 10.39492
611.7217, 7.585381
612.2039, 5.050949
612.6860, 3.328331
613.1681, 2.871353
613.6502, 4.564552
614.1323, 6.001617
614.6144, 7.295105
615.0966, 8.191628
615.5787, 8.360229
616.0608, 7.783295
616.5429, 6.470978
617.0250, 3.726402
617.5071, 0.7231830
617.9893, 0.9551850
618.4714, 3.916542
618.9535, 5.656342
619.4356, 2.229507
619.9177, 2.534355
620.3998, 3.408623
620.8820, 0.6890340
621.3641, 2.370911
621.8462, 4.075668
622.3283, 5.380539
622.8104, 7.213791
623.2925, 10.17288
623.7747, 11.74136
624.2568, 10.03757
624.7389, 7.651878
625.2210, 6.686073
625.7031, 7.820404
626.1852, 9.004410
626.6674, 10.48954
627.1495, 11.55546
627.6316, 10.42863
628.1137, 6.973488
628.5958, 4.808739
629.0779, 5.569275
629.5601, 7.538475
630.0422, 6.731682
630.5243, 3.840500
631.0064, 2.100159
631.4885, 4.911697
631.9706, 8.621620
632.4528, 9.382553
632.9349, 7.359291
633.4170, 5.831810
633.8991, 8.026627
634.3812, 9.801941
