##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
656.9359, 239.6719
657.4180, 188.6875
657.9001, 176.9531
658.3822, 257.5273
658.8643, 352.0391
659.3464, 383.2305
659.8286, 350.3555
660.3107, 328.8242
660.7928, 380.6250
661.2749, 434.8008
661.7570, 396.0742
662.2391, 308.4844
662.7213, 302.2422
663.2034, 412.8242
663.6855, 530.7383
664.1676, 524.2344
664.6497, 399.0977
665.1318, 331.8867
665.6140, 345.3867
666.0961, 370.0156
666.5782, 402.9922
667.0603, 426.2305
667.5424, 410.9883
668.0245, 359.1836
668.5067, 335.9297
668.9888, 391.2070
669.4709, 452.4688
669.9530, 469.5312
670.4351, 456.5312
670.9172, 436.2305
671.3994, 416.8945
671.8815, 405.6055
672.3636, 413.7500
672.8457, 437.5547
673.3278, 439.8945
673.8099, 408.3516
674.2921, 395.6914
674.7742, 429.6953
675.2563, 476.8711
675.7384, 504.8359
676.2205, 514.6797
676.7026, 498.3203
677.1848, 429.5859
677.6669, 367.9609
678.1490, 329.2070
678.6311, 309.4648
679.1132, 331.4180
679.5953, 397.1367
680.0775, 443.6172
680.5596, 401.9688
681.0417, 309.9141
681.5238, 283.4531
682.0059, 324.1836
682.4880, 354.8242
682.9702, 356.5469
683.4523, 331.1953
683.9344, 269.4805
684.4165, 167.8008
684.8986, 114.7734
685.3807, 139.5195
685.8629, 170.6641
686.3450, 206.5391
686.8271, 231.8359
687.3092, 219.0742
687.7913, 176.5820
688.2734, 157.0547
688.7556, 214.4883
689.2377, 288.9062
689.7198, 274.8594
690.2019, 200.8984
690.6840, 189.5977
691.1661, 273.1211
691.6483, 377.9219
692.1304, 438.1445
692.6125, 457.1992
693.0946, 470.0352
693.5767, 484.2773
694.0588, 478.1211
694.5410, 405.5391
695.0231, 349.2617
695.5052, 386.0820
695.9873, 491.5391
696.4694, 560.5195
696.9515, 521.5625
697.4337, 487.4766
697.9158, 569.2031
698.3979, 692.1328
698.8800, 727.9180
699.3621, 666.3164
