##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
617.5928, 1907.400
618.0750, 1905.516
618.5571, 1903.148
619.0392, 1900.094
619.5213, 1896.908
620.0034, 1894.041
620.4855, 1891.348
620.9677, 1888.410
621.4498, 1885.209
621.9319, 1882.152
622.4140, 1879.350
622.8961, 1876.926
623.3782, 1875.387
623.8604, 1875.490
624.3425, 1874.044
624.8246, 1868.661
625.3067, 1863.431
625.7888, 1861.524
626.2709, 1862.038
626.7531, 1862.360
627.2352, 1861.212
627.7173, 1859.157
628.1994, 1857.292
628.6815, 1855.768
629.1636, 1853.476
629.6458, 1849.873
630.1279, 1846.094
630.6100, 1842.539
631.0921, 1839.231
631.5742, 1836.329
632.0563, 1834.064
632.5385, 1831.621
633.0206, 1828.114
633.5027, 1824.103
633.9848, 1820.688
634.4669, 1818.033
634.9490, 1815.713
635.4312, 1813.450
635.9133, 1811.242
636.3954, 1809.013
636.8775, 1806.038
637.3596, 1804.092
637.8417, 1804.651
638.3239, 1805.108
638.8060, 1803.492
639.2881, 1800.041
639.7702, 1796.074
640.2523, 1792.243
640.7344, 1788.679
641.2166, 1785.777
641.6987, 1783.551
642.1808, 1781.355
642.6629, 1779.250
643.1450, 1776.800
643.6271, 1772.980
644.1093, 1768.330
644.5914, 1765.044
645.0735, 1764.363
645.5556, 1764.042
646.0377, 1763.568
646.5198, 1762.605
647.0020, 1760.239
647.4841, 1756.540
647.9662, 1753.228
648.4483, 1752.115
648.9304, 1752.618
649.4125, 1750.171
649.8947, 1741.978
650.3768, 1736.150
650.8589, 1736.072
651.3410, 1737.138
651.8231, 1736.281
652.3052, 1733.535
652.7874, 1730.554
653.2695, 1728.332
653.7516, 1726.111
654.2337, 1722.765
654.7158, 1718.547
655.1979, 1714.593
655.6801, 1711.199
656.1622, 1708.317
656.6443, 1705.940
657.1264, 1704.099
657.6085, 1702.311
658.0906, 1701.380
658.5728, 1699.515
659.0549, 1695.117
659.5370, 1690.273
660.0191, 1687.484
660.5012, 1686.838
660.9833, 1686.111
661.4655, 1683.434
661.9476, 1679.321
662.4297, 1675.342
662.9118, 1671.502
663.3939, 1667.821
663.8760, 1664.294
664.3582, 1660.976
664.8403, 1657.687
665.3224, 1654.463
665.8045, 1652.479
666.2866, 1653.207
666.7687, 1653.879
667.2509, 1653.098
