##NAMES=Vlodavetsite
##RRUFFID=R070736
##IDEAL CHEMISTRY=Ca_2_Al(S^6+^O_4_)_2_F_2_Cl&#183;4H_2_O
##LOCALITY=Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless vitreous massive, rarely in irregular plates associated with calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070736
685.6500, 407.9922
686.1321, 310.3008
686.6142, 210.4570
687.0963, 145.1719
687.5784, 112.0469
688.0605, 79.96484
688.5427, 47.30859
689.0248, 20.15625
689.5069, 8.328125
689.9890, 35.60156
690.4711, 5.230469
690.9532, 91.76562
691.4354, 175.8672
691.9175, 157.8359
692.3996, 84.83984
692.8817, 28.30469
693.3638, 2.863281
693.8459, 1.187500
694.3281, 81.00781
694.8102, 184.6992
695.2923, 230.7188
695.7744, 136.7070
696.2565, 67.87500
696.7386, 51.95703
697.2208, 73.38281
697.7029, 92.00391
698.1850, 106.2539
698.6671, 125.1758
699.1492, 162.3867
699.6313, 203.3867
700.1135, 178.5195
700.5956, 92.12891
701.0777, 24.10547
701.5598, 49.64844
702.0419, 113.0430
702.5240, 142.6602
703.0062, 130.3633
703.4883, 123.2188
703.9704, 135.4453
704.4525, 167.0664
704.9346, 222.5977
705.4167, 354.8984
705.8989, 417.1094
706.3810, 371.3477
706.8631, 286.2148
707.3452, 241.2578
707.8273, 241.2227
708.3094, 253.9961
708.7916, 278.3633
709.2737, 306.1016
709.7558, 325.9375
710.2379, 336.8242
710.7200, 335.6406
711.2021, 304.5469
711.6843, 273.0859
712.1664, 273.8086
712.6485, 298.3086
