##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
447.2585, 1.582188
447.7406, 1.809265
448.2227, 1.613895
448.7049, 1.314365
449.1870, 0.8684810
449.6691, 0.1452600
450.1512, 0.1260640
450.6333, 1.132851
451.1154, 2.491920
451.5976, 3.616241
452.0797, 4.506371
452.5618, 5.120605
453.0439, 5.406784
453.5260, 5.435684
454.0081, 5.487061
454.4903, 5.601814
454.9724, 5.468620
455.4545, 4.701962
455.9366, 3.440903
456.4187, 2.647236
456.9008, 2.384090
457.3830, 2.435608
457.8651, 2.667057
458.3472, 3.028965
458.8293, 3.366173
459.3114, 3.710636
459.7935, 3.922291
460.2757, 3.812622
460.7578, 3.405380
461.2399, 2.827793
461.7220, 2.008171
462.2041, 1.136997
462.6862, 0.3541720
463.1684, 0.3620340
463.6505, 0.7900960
464.1326, 0.6952510
464.6147, 0.2749060
465.0968, 0.2207070
465.5789, 0.8902400
466.0611, 1.440033
466.5432, 1.791309
467.0253, 1.945339
467.5074, 1.962246
467.9895, 1.621468
468.4716, 1.330101
468.9538, 1.345116
469.4359, 2.114281
469.9180, 2.150002
470.4001, 0.9199830
470.8822, 0.6780280
471.3643, 1.232861
471.8465, 0.4014050
472.3286, 0.5054400
472.8107, 1.302380
473.2928, 1.906071
473.7749, 1.702888
474.2570, 0.5445250
474.7392, 0.6417810
475.2213, 1.160480
475.7034, 1.083225
476.1855, 0.8665580
476.6676, 0.5327490
477.1497, 0.1497690
477.6319, 0.2515950
478.1140, 0.6369670
478.5961, 0.8853840
479.0782, 0.9256020
479.5603, 0.8136630
480.0424, 0.5143740
480.5246, 6.1974000E-02
481.0067, 0.2559550
481.4888, 0.1597100
481.9709, 9.3933001E-02
482.4530, 0.2796520
482.9352, 0.3322750
483.4173, 0.3678130
483.8994, 0.5251350
484.3815, 0.6729430
484.8636, 0.6104770
485.3457, 0.3866620
485.8279, 0.9033470
486.3100, 0.1865730
486.7921, 1.766548
487.2742, 2.787434
487.7563, 2.221287
488.2384, 1.399857
488.7206, 1.049492
489.2027, 1.303417
489.6848, 1.720940
490.1669, 2.469910
490.6490, 3.195488
491.1311, 3.224930
491.6133, 2.436085
492.0954, 1.807404
492.5775, 1.718517
493.0596, 1.997467
493.5417, 1.917461
494.0238, 1.470314
494.5060, 1.144974
494.9881, 1.481873
495.4702, 2.208759
495.9523, 2.593800
496.4344, 2.468784
496.9165, 2.326107
497.3987, 2.847698
497.8808, 3.687523
498.3629, 4.182861
498.8450, 3.817162
499.3271, 3.224018
499.8092, 2.677227
500.2914, 2.207767
500.7735, 2.005085
501.2556, 2.454025
501.7377, 2.955235
502.2198, 3.098816
502.7019, 2.585171
503.1841, 2.384182
503.6662, 2.862926
504.1483, 3.615730
504.6304, 4.171070
505.1125, 4.439125
505.5946, 4.648872
506.0768, 4.857960
506.5589, 5.038319
507.0410, 5.057861
507.5231, 4.909241
508.0052, 4.613926
508.4873, 3.959518
508.9695, 2.942928
509.4516, 2.947609
509.9337, 4.186768
510.4158, 5.586769
510.8979, 5.812408
511.3800, 5.091751
511.8622, 4.407230
512.3443, 3.937050
512.8264, 3.745934
513.3085, 4.137772
513.7906, 4.937550
514.2728, 5.516964
514.7549, 5.348667
515.2370, 4.921417
515.7191, 4.633888
516.2012, 4.521656
516.6833, 4.453327
517.1655, 4.324123
517.6476, 4.234089
518.1297, 4.271313
518.6118, 4.642471
519.0939, 4.907623
519.5760, 5.012691
520.0582, 4.962463
520.5403, 4.762817
521.0224, 4.118931
521.5045, 3.673908
521.9866, 3.686771
522.4688, 4.178028
522.9509, 4.630184
523.4330, 5.013748
523.9151, 5.350109
524.3972, 5.663654
524.8793, 5.953262
525.3615, 6.179855
525.8436, 6.353119
526.3257, 6.429123
526.8078, 6.300079
527.2899, 5.999672
527.7720, 5.678139
528.2542, 5.266361
528.7363, 4.920238
529.2184, 5.113537
529.7005, 5.823841
530.1826, 6.403835
530.6647, 6.009712
531.1469, 5.391880
531.6290, 5.259365
532.1111, 5.819687
532.5932, 6.267864
533.0753, 6.481655
533.5574, 6.415985
534.0396, 5.989994
534.5217, 4.576241
535.0038, 3.538692
535.4859, 3.132629
535.9680, 3.213875
536.4501, 3.405354
536.9323, 3.827503
537.4144, 4.147366
537.8965, 4.148453
538.3786, 3.810238
538.8607, 3.962189
539.3428, 4.774139
539.8250, 5.646294
540.3071, 6.013435
540.7892, 5.904297
541.2713, 5.557297
541.7534, 4.916283
542.2355, 4.273022
542.7177, 4.019672
543.1998, 4.070053
543.6819, 4.237164
544.1640, 4.697117
544.6461, 5.148216
545.1282, 5.382210
545.6104, 5.386913
546.0925, 5.106476
546.5746, 4.024185
547.0567, 2.992107
547.5388, 2.642929
548.0209, 3.280071
548.5031, 3.879055
548.9852, 4.267998
549.4673, 4.499863
549.9494, 4.626019
550.4315, 4.549198
550.9136, 4.519157
551.3958, 4.549000
551.8779, 4.644611
552.3600, 4.817356
552.8421, 5.061111
553.3242, 5.414284
553.8063, 6.032207
554.2885, 6.825096
554.7706, 6.964134
555.2527, 6.392315
555.7348, 5.731369
556.2169, 5.618507
556.6990, 5.843105
557.1812, 5.812466
557.6633, 5.369869
558.1454, 4.912006
558.6275, 4.979836
559.1096, 5.278183
559.5917, 5.286762
560.0739, 4.389336
560.5560, 3.537449
561.0381, 3.154556
561.5202, 3.209976
562.0023, 3.528191
562.4844, 4.725197
562.9666, 5.608582
563.4487, 5.413090
563.9308, 3.759087
564.4129, 2.978336
564.8950, 3.674561
565.3771, 4.582867
565.8593, 4.549957
566.3414, 3.248138
566.8235, 2.436081
567.3056, 2.412567
567.7877, 2.806431
568.2698, 2.969593
568.7520, 2.911316
569.2341, 2.728668
569.7162, 2.342621
570.1983, 1.934937
570.6804, 1.917908
571.1625, 2.235535
571.6447, 2.491119
572.1268, 2.370914
572.6089, 2.096405
573.0910, 1.891304
573.5731, 1.793221
574.0552, 1.653927
574.5374, 1.358959
575.0195, 1.011627
575.5016, 0.7073780
575.9837, 0.2772870
576.4658, 0.1252330
576.9479, 0.4521100
577.4301, 1.036617
577.9122, 1.436714
578.3943, 1.526619
578.8764, 1.709496
579.3585, 2.238083
579.8406, 2.982975
580.3228, 2.888615
580.8049, 1.826763
581.2870, 0.7558170
581.7691, 0.2652660
582.2512, 0.2924580
582.7333, 0.6616630
583.2155, 1.399174
583.6975, 2.139381
584.1796, 2.597229
584.6617, 2.824039
585.1439, 2.943829
585.6260, 3.156845
586.1081, 2.970036
586.5902, 1.476414
587.0723, 0.5717740
587.5544, 1.701992
588.0366, 0.7840390
588.5187, 0.3654170
589.0008, 1.252571
589.4829, 1.864178
589.9650, 2.359379
590.4471, 2.755711
590.9293, 3.010181
591.4114, 3.097660
591.8935, 3.013027
592.3756, 2.718513
592.8577, 2.087486
593.3398, 1.586670
593.8220, 1.882465
594.3041, 2.847954
594.7862, 3.484985
595.2683, 3.592079
595.7504, 3.370842
596.2325, 3.041229
596.7147, 2.591789
597.1968, 2.000889
597.6789, 0.8478810
598.1610, 0.1121670
598.6431, 0.2656100
599.1252, 0.2789540
599.6074, 0.9865530
600.0895, 2.074654
600.5716, 2.937168
601.0537, 3.219563
601.5358, 2.758804
602.0179, 2.343769
602.5001, 1.995674
602.9822, 1.683392
603.4643, 1.335239
603.9464, 0.8458290
604.4285, 0.7610820
604.9106, 1.207394
605.3928, 1.893322
605.8749, 2.471672
606.3570, 2.932583
606.8391, 3.121281
607.3212, 2.940243
607.8033, 2.529644
608.2855, 1.991962
608.7676, 1.381847
609.2497, 0.8799740
609.7318, 0.6577680
610.2139, 0.5364650
610.6960, 0.3745040
611.1782, 0.1677090
611.6603, 2.1811999E-02
612.1424, 0.1855350
612.6245, 0.2064900
613.1066, 0.1699980
613.5887, 1.304127
614.0709, 2.025311
614.5530, 2.136383
615.0351, 2.019646
615.5172, 2.095657
615.9993, 2.436176
616.4814, 2.653183
616.9636, 2.698105
617.4457, 2.584976
617.9278, 2.180565
618.4099, 1.540131
618.8920, 1.233685
619.3741, 1.742729
619.8563, 2.535915
620.3384, 2.895840
620.8205, 2.850288
621.3026, 2.539692
621.7847, 1.703892
622.2668, 0.8767890
622.7490, 0.5950550
623.2311, 0.9710460
623.7132, 1.055759
624.1953, 0.1493190
624.6774, 0.8265610
625.1595, 1.220978
625.6417, 0.7366410
626.1238, 0.2051730
626.6059, 0.4973030
627.0880, 1.110657
627.5701, 1.152840
628.0522, 0.4877820
628.5344, 0.3353540
629.0165, 1.185196
629.4986, 2.372467
629.9807, 2.387104
630.4628, 1.448093
630.9449, 0.7245900
631.4271, 0.9023820
631.9092, 1.506363
632.3913, 2.216515
632.8734, 3.010300
633.3555, 3.502346
633.8376, 3.049473
634.3198, 2.486633
634.8019, 2.416302
635.2840, 3.014553
635.7661, 3.467484
636.2482, 3.607208
636.7303, 3.649143
637.2125, 3.717281
637.6946, 3.770397
638.1767, 4.003635
638.6588, 4.497047
639.1409, 5.046249
639.6230, 5.329662
640.1052, 5.366013
640.5873, 5.408958
641.0694, 5.517605
641.5515, 5.672493
642.0336, 5.972080
642.5157, 6.309875
642.9979, 6.374905
643.4800, 5.653225
643.9621, 4.909527
644.4442, 4.653122
644.9263, 4.823856
645.4084, 5.117493
645.8906, 5.977516
646.3727, 6.644672
646.8548, 6.604843
647.3369, 5.693352
647.8190, 5.236397
648.3011, 5.480690
648.7833, 5.813381
649.2654, 5.748951
649.7475, 5.248634
