##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
475.8840, 157.2187
476.3660, 151.6683
476.8480, 140.3188
477.3300, 126.3359
477.8120, 119.6412
478.2940, 126.3760
478.7760, 140.3602
479.2590, 144.2109
479.7410, 129.1023
480.2230, 119.5609
480.7050, 121.8092
481.1870, 124.9131
481.6690, 119.0068
482.1510, 106.6331
482.6330, 99.83319
483.1160, 111.0294
483.5980, 131.4673
484.0800, 135.3913
484.5620, 118.5300
485.0440, 100.7170
485.5260, 81.74310
486.0080, 98.21997
486.4900, 106.0756
486.9720, 105.7617
487.4550, 72.89386
487.9370, 82.06366
488.4190, 74.38815
488.9010, 66.08694
489.3830, 81.65192
489.8650, 53.56656
490.3470, 68.28836
490.8290, 65.90265
491.3110, 71.34583
491.7940, 59.84033
492.2760, 53.57135
492.7580, 64.25928
493.2400, 46.70044
493.7220, 48.09875
494.2040, 62.33731
494.6860, 74.67603
495.1680, 69.67175
495.6510, 51.67447
496.1330, 44.50446
496.6150, 51.78879
497.0970, 57.46252
497.5790, 53.48419
498.0610, 44.58755
498.5430, 36.53690
499.0250, 29.27756
499.5080, 24.59323
499.9900, 26.35818
500.4720, 29.78479
500.9540, 24.98102
501.4360, 11.88400
501.9180, 4.637360
502.4000, 16.75122
502.8820, 44.25830
503.3640, 55.34442
503.8460, 31.03333
504.3290, 13.73517
504.8110, 12.97931
505.2930, 18.01663
505.7750, 19.30814
506.2570, 15.16675
506.7390, 9.235474
507.2210, 3.945221
507.7030, 0.4866640
508.1860, 1.237061
508.6680, 2.859070
509.1500, 6.746277
509.6320, 7.423218
510.1140, 10.60776
510.5960, 20.87894
511.0780, 23.72910
511.5600, 2.913483
512.0420, 8.281281
512.5250, 4.252197
513.0070, 0.3888240
513.4890, 16.34549
513.9710, 5.738037
514.4530, 11.50928
514.9350, 12.41156
515.4170, 20.21606
515.8990, 12.71249
516.3820, 10.49014
516.8640, 23.11584
517.3460, 27.31860
517.8280, 18.28452
518.3100, 26.51474
518.7920, 3.814148
519.2740, 8.222656
519.7560, 24.46146
520.2390, 15.92267
520.7210, 24.41623
521.2030, 10.57187
521.6850, 5.346100
522.1670, 3.278076
522.6490, 1.734253
523.1310, 12.25153
523.6130, 16.59293
524.0960, 5.812347
524.5780, 9.578888
525.0600, 20.79880
525.5420, 26.23013
526.0240, 23.77695
526.5060, 10.79794
526.9880, 8.541290
527.4700, 17.33362
527.9520, 10.02783
528.4350, 1.582245
528.9170, 11.09357
529.3990, 20.70966
529.8810, 19.81293
530.3630, 10.11465
530.8450, 1.668182
531.3270, 1.314148
531.8090, 5.824341
532.2910, 10.75235
532.7740, 16.07840
533.2560, 17.41208
533.7380, 11.60950
534.2200, 3.031464
534.7020, 1.431030
535.1840, 1.627228
535.6660, 0.6736150
536.1480, 10.52862
536.6300, 18.17682
537.1130, 14.22583
537.5950, 2.822693
538.0770, 5.454498
538.5590, 5.197052
539.0410, 0.5662230
539.5230, 7.402985
540.0050, 17.36646
540.4870, 19.30786
540.9690, 3.103851
541.4520, 11.66757
541.9340, 12.33630
542.4160, 2.755768
542.8980, 5.989532
543.3800, 8.046997
543.8620, 10.99838
544.3440, 27.96793
544.8260, 51.39764
545.3090, 56.12390
545.7910, 34.27655
546.2730, 6.827606
546.7550, 2.431549
547.2370, 8.513397
547.7190, 17.22922
548.2010, 24.58664
548.6830, 29.11115
549.1660, 26.75775
549.6480, 22.85471
550.1300, 25.24591
550.6120, 35.58542
551.0940, 45.64212
551.5760, 46.63318
552.0580, 39.51624
552.5400, 28.82349
553.0230, 12.30490
553.5050, 0.7031250
553.9870, 1.554565
