##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
693.7740, 46.07007
694.2561, 37.02759
694.7382, 19.31250
695.2203, 4.574463
695.7025, 3.012207
696.1846, 11.48657
696.6667, 17.68726
697.1488, 15.96680
697.6309, 15.27588
698.1130, 19.56079
698.5952, 28.01514
699.0773, 43.48364
699.5594, 63.08765
700.0415, 75.71289
700.5236, 74.29102
701.0057, 63.32959
701.4879, 49.33179
701.9700, 31.66357
702.4521, 24.00391
702.9342, 29.22046
703.4163, 40.70801
703.8984, 59.54370
704.3806, 80.02344
704.8627, 88.79395
705.3448, 84.31714
705.8269, 73.68823
706.3090, 45.07227
706.7911, 23.63135
707.2733, 29.69971
707.7554, 50.75903
708.2375, 64.41260
708.7196, 63.96313
709.2017, 59.54077
709.6838, 62.17236
710.1660, 67.80957
710.6481, 64.24414
711.1302, 51.95947
711.6123, 43.33862
712.0944, 43.25171
712.5765, 46.40088
713.0587, 46.57642
713.5408, 43.43848
714.0229, 38.30566
714.5050, 23.32910
714.9871, 19.25269
715.4692, 41.15723
715.9514, 65.44092
716.4335, 72.01392
716.9156, 62.55103
717.3977, 52.03101
717.8798, 43.85669
718.3619, 37.59521
718.8441, 36.49268
719.3262, 37.78491
719.8083, 35.71582
720.2904, 30.11792
720.7725, 27.25415
721.2546, 34.21655
721.7368, 47.36182
722.2189, 55.09644
722.7010, 57.04175
723.1831, 55.54272
723.6652, 48.33447
724.1473, 42.50513
724.6295, 43.36060
725.1116, 47.77051
725.5937, 49.75854
726.0758, 49.77124
726.5579, 45.59253
727.0400, 33.87744
727.5222, 20.47192
