##NAMES=Coronadite
##RRUFFID=R070320
##IDEAL CHEMISTRY=Pb^2+^(Mn^4+^_6_Mn^3+^_2_)O_16_
##LOCALITY=Broken Hill, New South Wales, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Dark gray fine-grained aggregate, some thin acicular crystals lining cracks in the rock
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070320
699.5594, 23.93481
700.0415, 14.41919
700.5236, 19.63477
701.0057, 31.68262
701.4879, 33.55664
701.9700, 24.92261
702.4521, 18.61890
702.9342, 14.23535
703.4163, 13.73291
703.8984, 19.25415
704.3806, 28.86499
704.8627, 39.39917
705.3448, 55.66943
705.8269, 59.25903
706.3090, 35.13574
706.7911, 10.15771
707.2733, 3.332275
707.7554, 5.318848
708.2375, 6.327393
708.7196, 31.18188
709.2017, 53.45898
709.6838, 57.80176
710.1660, 48.25879
710.6481, 28.21704
711.1302, 0.7463380
711.6123, 8.615234
712.0944, 19.63623
712.5765, 55.33765
713.0587, 61.47974
713.5408, 36.26904
714.0229, 20.40088
714.5050, 18.46851
714.9871, 19.97021
715.4692, 26.36743
715.9514, 33.07275
716.4335, 35.68262
716.9156, 34.93066
717.3977, 35.59009
717.8798, 41.68188
718.3619, 47.07837
718.8441, 46.93237
719.3262, 42.23608
719.8083, 30.21094
720.2904, 13.48389
720.7725, 8.651611
721.2546, 28.51587
721.7368, 60.50049
722.2189, 73.54736
722.7010, 65.24878
723.1831, 52.28662
723.6652, 29.62280
724.1473, 14.64966
724.6295, 24.08032
725.1116, 45.28564
725.5937, 51.32275
726.0758, 38.80005
726.5579, 25.68677
727.0400, 10.93311
727.5222, 2.674316
728.0043, 3.883301
728.4864, 12.13892
728.9685, 21.69165
729.4506, 30.86157
729.9327, 40.32617
730.4149, 52.98291
730.8970, 65.35181
731.3791, 67.47217
731.8612, 60.54224
732.3433, 56.84082
732.8254, 61.18213
733.3076, 63.58862
733.7897, 53.97583
734.2718, 34.11182
734.7539, 19.58423
735.2360, 12.34668
735.7181, 7.166504
736.2003, 0.1474610
736.6824, 2.308838
737.1645, 11.60254
737.6466, 33.43018
738.1287, 41.63672
738.6108, 26.32959
739.0930, 9.389160
739.5751, 3.3202998E-02
740.0572, 2.974121
