##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
511.0518, 38.02136
511.5339, 41.42493
512.0161, 48.65796
512.4982, 56.66223
512.9803, 55.42688
513.4624, 43.07080
513.9445, 32.79126
514.4266, 28.66504
514.9088, 30.12817
515.3909, 36.25830
515.8730, 46.99475
516.3551, 53.38452
516.8372, 51.29529
517.3193, 44.56567
517.8015, 34.84167
518.2836, 23.36890
518.7657, 12.75354
519.2478, 4.082397
519.7299, 1.335693
520.2120, 0.6392820
520.6942, 20.31250
521.1763, 27.68713
521.6584, 11.25049
522.1405, 5.451904
522.6226, 8.640503
523.1047, 1.667847
523.5869, 3.788574
524.0690, 0.1409910
524.5511, 4.503784
525.0332, 9.782471
525.5153, 42.77173
525.9974, 59.53821
526.4796, 46.23303
526.9617, 23.26392
527.4438, 10.03113
527.9259, 5.661377
528.4080, 6.932983
528.8901, 20.00879
529.3723, 32.11182
529.8544, 34.52100
530.3365, 30.73242
530.8186, 27.87439
531.3007, 28.36121
531.7828, 29.47058
532.2650, 27.13599
532.7471, 20.46094
533.2292, 15.88879
533.7113, 14.97424
534.1934, 14.45667
534.6755, 11.93457
535.1577, 9.754517
535.6398, 12.56677
536.1219, 22.43115
536.6040, 30.02905
537.0861, 22.17273
537.5682, 6.113525
538.0504, 6.485596
538.5325, 28.50281
539.0146, 49.16138
539.4967, 51.66040
539.9788, 39.25549
540.4609, 28.70105
540.9431, 16.66687
541.4252, 10.59399
541.9073, 17.21033
542.3894, 27.06982
542.8715, 29.37195
543.3536, 24.56323
543.8358, 22.97083
544.3179, 34.40076
544.8000, 54.14795
545.2821, 59.49841
545.7642, 42.63599
546.2463, 32.89929
546.7285, 45.73169
547.2106, 61.81226
547.6926, 69.07520
548.1747, 67.86804
548.6569, 59.77429
549.1390, 35.21533
549.6211, 10.64478
550.1032, 6.023438
550.5853, 18.23279
551.0674, 34.09131
551.5496, 49.45044
552.0317, 60.95203
552.5138, 62.98206
552.9959, 53.31250
553.4780, 41.31250
553.9601, 20.11780
554.4423, 4.168701
554.9244, 0.6729740
555.4065, 5.793579
555.8886, 14.01904
556.3707, 23.45374
556.8528, 32.77600
557.3350, 41.92432
557.8171, 50.09753
558.2992, 51.74194
558.7813, 44.91211
559.2634, 35.86255
559.7455, 26.51062
560.2277, 18.46179
560.7098, 16.15771
561.1919, 21.99426
561.6740, 29.39795
562.1561, 40.05042
562.6382, 48.98608
563.1204, 49.19348
563.6025, 41.57434
564.0846, 34.05164
564.5667, 33.81323
565.0488, 38.75732
565.5309, 40.40588
566.0131, 37.36072
566.4952, 34.55835
566.9773, 34.28442
567.4594, 33.27319
567.9415, 28.28516
568.4236, 20.32068
568.9058, 14.22363
569.3879, 12.82397
569.8700, 13.44080
570.3521, 15.19592
570.8342, 16.88049
571.3163, 12.72986
571.7985, 0.3471680
572.2806, 11.79492
572.7627, 12.66431
573.2448, 0.5247800
573.7269, 6.416260
574.2090, 2.351929
574.6912, 0.3718260
575.1733, 6.240112
575.6554, 14.57288
576.1375, 19.86218
576.6196, 20.69971
577.1017, 18.05286
577.5839, 8.945801
578.0660, 2.800781
578.5481, 3.474854
579.0302, 8.345703
579.5123, 20.47986
579.9944, 28.97302
580.4766, 32.61584
580.9587, 26.38477
581.4408, 5.455566
581.9229, 5.405884
582.4050, 4.654053
582.8871, 19.37195
583.3693, 29.14258
583.8514, 34.04871
584.3335, 36.50232
584.8156, 37.54944
585.2977, 37.03003
585.7798, 34.56934
586.2620, 30.09521
586.7441, 23.74866
587.2262, 11.31873
587.7083, 3.948608
588.1904, 12.71619
588.6725, 29.42212
589.1547, 40.96558
589.6368, 44.88782
590.1189, 45.63354
590.6010, 45.60278
591.0831, 43.45679
591.5652, 35.89111
592.0474, 23.78101
592.5295, 12.38550
593.0116, 4.930542
593.4937, 2.159424
593.9758, 5.523438
594.4579, 17.32373
594.9401, 23.80481
595.4222, 17.55151
595.9043, 11.90857
596.3864, 13.17407
596.8685, 20.40015
597.3506, 31.28540
597.8328, 48.46228
598.3149, 62.13049
598.7970, 60.67432
599.2791, 49.05151
599.7612, 39.30103
600.2433, 33.70007
600.7255, 31.64355
601.2076, 33.44165
601.6897, 38.26514
602.1718, 39.25085
602.6539, 28.20129
603.1360, 25.35559
603.6182, 40.38232
604.1003, 56.01270
604.5824, 57.69678
605.0645, 47.94104
605.5466, 40.96423
606.0287, 46.96985
606.5109, 57.34485
606.9930, 58.50220
607.4751, 51.55188
607.9572, 44.99792
608.4393, 40.58545
608.9214, 38.64709
609.4036, 41.23535
609.8857, 48.34680
610.3678, 46.25964
610.8499, 20.51685
611.3320, 4.753540
611.8141, 16.99036
612.2963, 36.46667
612.7784, 41.68921
613.2605, 31.05139
613.7426, 16.83081
614.2247, 5.111694
614.7068, 0.9930420
615.1890, 10.99243
615.6711, 42.28113
616.1532, 63.38928
616.6353, 62.63403
617.1174, 54.44092
617.5995, 56.49805
618.0817, 69.06177
618.5638, 70.92065
619.0459, 54.08569
619.5280, 34.74951
620.0101, 12.77246
620.4922, 5.034302
620.9744, 9.275757
621.4565, 0.8537600
621.9386, 17.66956
622.4207, 37.31372
622.9028, 56.83215
623.3849, 62.86304
623.8671, 53.34717
624.3492, 41.92261
624.8313, 30.70544
625.3134, 21.53174
625.7955, 17.73218
626.2776, 18.94592
626.7598, 19.46802
627.2419, 12.21240
627.7240, 10.91028
628.2061, 30.18933
628.6882, 56.71375
629.1703, 69.99255
629.6525, 65.98743
630.1346, 55.76465
630.6167, 51.52063
631.0988, 52.86951
631.5809, 46.01611
632.0630, 27.17810
632.5452, 18.23230
633.0273, 32.40002
633.5094, 52.95105
633.9915, 60.86047
634.4736, 56.82141
634.9557, 53.19568
635.4379, 58.38599
635.9200, 47.84143
636.4021, 59.52222
636.8842, 65.02087
637.3663, 64.50879
637.8484, 39.41187
638.3306, 46.50195
638.8127, 40.96204
639.2948, 35.08777
639.7769, 46.99390
640.2590, 26.46021
640.7411, 38.72693
641.2233, 38.16797
641.7054, 43.75671
642.1875, 36.63855
642.6696, 33.69861
643.1517, 43.85522
643.6339, 47.05713
644.1160, 39.67908
644.5981, 47.05298
645.0802, 27.99646
645.5623, 32.26624
646.0444, 46.71326
646.5266, 40.47986
647.0087, 48.78857
647.4908, 51.82288
647.9729, 30.20752
648.4550, 51.98279
648.9371, 47.79028
649.4193, 47.91809
649.9014, 40.86646
650.3835, 20.47009
650.8656, 9.704834
651.3477, 23.23474
651.8298, 4.345825
652.3120, 19.10364
652.7941, 39.44250
653.2762, 53.98889
653.7583, 56.15735
654.2404, 47.16943
654.7225, 39.03381
655.2047, 42.46375
655.6868, 52.76892
656.1689, 53.42761
656.6510, 42.58862
657.1331, 33.37097
657.6152, 28.22375
658.0974, 25.88586
658.5795, 28.73279
659.0616, 34.42505
659.5437, 31.67358
660.0258, 7.925659
660.5079, 10.05103
660.9901, 11.77002
661.4722, 4.136108
661.9543, 9.756592
662.4364, 26.38257
662.9185, 36.94397
663.4006, 34.36768
663.8828, 25.67969
664.3649, 27.69727
664.8470, 40.92188
665.3291, 47.65002
665.8112, 43.05835
666.2933, 36.58545
666.7755, 34.41528
667.2576, 36.16943
667.7397, 39.86499
668.2218, 50.78101
668.7039, 55.08826
669.1860, 41.52881
669.6682, 27.44666
670.1503, 29.74976
670.6324, 43.01111
671.1145, 53.61707
671.5966, 55.03711
672.0787, 50.94849
672.5609, 41.60645
673.0430, 29.64258
673.5251, 37.13977
674.0072, 70.75745
674.4893, 96.22327
674.9714, 90.08948
675.4536, 64.48193
675.9357, 51.06775
676.4178, 57.16284
676.8999, 59.41724
677.3820, 55.21899
677.8641, 49.12097
678.3463, 40.49243
678.8284, 32.25684
679.3105, 30.52271
679.7926, 36.37317
680.2747, 42.73193
680.7568, 41.30200
681.2390, 35.84326
681.7211, 36.34534
682.2032, 42.82446
682.6853, 48.08899
