##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
452.6484, 2438533.
453.1305, 2437653.
453.6126, 2436798.
454.0948, 2435972.
454.5769, 2435252.
455.0590, 2434651.
455.5411, 2434216.
456.0232, 2434100.
456.5053, 2434530.
456.9875, 2435045.
457.4696, 2435314.
457.9517, 2435353.
458.4338, 2435161.
458.9159, 2434641.
459.3980, 2434074.
459.8802, 2433951.
460.3623, 2434306.
460.8444, 2434527.
461.3265, 2434404.
461.8086, 2434152.
462.2907, 2434097.
462.7729, 2434157.
463.2550, 2433715.
463.7371, 2432168.
464.2192, 2429863.
464.7013, 2428827.
465.1834, 2430572.
465.6656, 2431565.
466.1477, 2430708.
466.6298, 2429166.
467.1119, 2428144.
467.5940, 2427945.
468.0761, 2428215.
468.5583, 2428598.
469.0404, 2429181.
469.5225, 2429369.
470.0046, 2428953.
470.4867, 2428350.
470.9688, 2427523.
471.4510, 2426619.
471.9331, 2425889.
472.4152, 2425467.
472.8973, 2425139.
473.3794, 2424423.
473.8615, 2423162.
474.3437, 2422157.
474.8258, 2421912.
475.3079, 2421667.
475.7900, 2420903.
476.2721, 2419672.
476.7542, 2418385.
477.2364, 2417329.
477.7185, 2416400.
478.2006, 2415364.
478.6827, 2414237.
479.1648, 2412956.
479.6469, 2411194.
480.1291, 2409427.
480.6112, 2408545.
481.0933, 2408884.
481.5754, 2409303.
482.0575, 2409318.
482.5396, 2409010.
483.0217, 2408492.
483.5038, 2407779.
483.9860, 2406961.
484.4681, 2406098.
484.9502, 2405186.
485.4323, 2404282.
485.9144, 2403076.
486.3965, 2402189.
486.8787, 2402095.
487.3608, 2402450.
487.8429, 2402624.
488.3250, 2402364.
488.8071, 2401862.
489.2892, 2401460.
489.7714, 2401189.
490.2535, 2400915.
490.7356, 2400642.
491.2177, 2400361.
491.6998, 2400170.
492.1819, 2399975.
492.6641, 2399513.
493.1462, 2398566.
493.6283, 2397370.
494.1104, 2396659.
494.5925, 2396640.
495.0746, 2396546.
495.5568, 2396128.
496.0389, 2395623.
496.5210, 2395289.
497.0031, 2395105.
497.4852, 2394654.
497.9673, 2393447.
498.4495, 2391764.
498.9316, 2390441.
499.4137, 2389586.
499.8958, 2388675.
500.3779, 2387258.
500.8600, 2385616.
501.3422, 2384341.
501.8243, 2383557.
502.3064, 2382922.
502.7885, 2382271.
503.2706, 2381652.
503.7527, 2381155.
504.2349, 2380807.
504.7170, 2380566.
505.1991, 2380509.
505.6812, 2380666.
506.1633, 2380009.
506.6454, 2377545.
507.1276, 2375470.
507.6097, 2374777.
508.0918, 2374945.
508.5739, 2375276.
509.0560, 2375486.
509.5381, 2375435.
510.0203, 2374770.
510.5024, 2373082.
510.9845, 2372189.
511.4666, 2372955.
511.9487, 2373661.
512.4308, 2373688.
512.9130, 2373150.
513.3951, 2372245.
513.8772, 2370927.
514.3593, 2369721.
514.8414, 2369927.
515.3235, 2371851.
515.8057, 2372794.
516.2878, 2371566.
516.7699, 2369694.
517.2520, 2368364.
517.7341, 2367551.
518.2162, 2366976.
518.6984, 2366612.
519.1805, 2366355.
519.6626, 2366128.
520.1447, 2365913.
520.6268, 2365546.
521.1089, 2364895.
521.5911, 2364115.
522.0732, 2363649.
522.5553, 2363730.
523.0374, 2363423.
523.5195, 2362263.
524.0016, 2360877.
524.4838, 2359753.
524.9659, 2358949.
525.4480, 2358321.
525.9301, 2357744.
526.4122, 2357297.
526.8943, 2357450.
527.3765, 2359579.
527.8586, 2360276.
528.3407, 2358230.
528.8228, 2355442.
529.3049, 2353426.
529.7870, 2352395.
530.2692, 2351780.
530.7513, 2351147.
531.2334, 2350508.
531.7155, 2349946.
532.1976, 2349573.
532.6797, 2349032.
533.1619, 2347955.
533.6440, 2346751.
534.1261, 2345847.
534.6082, 2345343.
535.0903, 2344880.
535.5724, 2344288.
536.0546, 2343555.
536.5367, 2342500.
537.0188, 2341050.
537.5009, 2339928.
537.9830, 2339792.
538.4651, 2340438.
538.9473, 2340681.
539.4294, 2340005.
539.9115, 2339593.
540.3936, 2340053.
540.8757, 2340816.
541.3578, 2341269.
541.8400, 2341253.
542.3221, 2340788.
542.8042, 2339828.
543.2863, 2338364.
543.7684, 2337168.
544.2505, 2336544.
544.7326, 2335858.
545.2147, 2334900.
545.6968, 2333888.
546.1790, 2333125.
546.6611, 2332675.
547.1432, 2332241.
547.6253, 2331384.
548.1074, 2330175.
548.5895, 2329457.
549.0717, 2329420.
549.5538, 2329542.
550.0359, 2329500.
550.5180, 2329415.
551.0001, 2329496.
551.4822, 2329853.
551.9644, 2330169.
552.4465, 2330206.
552.9286, 2330058.
553.4107, 2329923.
553.8928, 2329835.
554.3749, 2329719.
554.8571, 2329523.
555.3392, 2329235.
555.8213, 2328759.
556.3034, 2327672.
556.7855, 2326927.
557.2676, 2327022.
557.7498, 2327463.
