##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
672.4070, 27.70633
672.8891, 27.58290
673.3712, 28.35188
673.8533, 29.32112
674.3354, 29.55322
674.8176, 29.10669
675.2997, 28.81246
675.7818, 29.44105
676.2639, 30.08581
676.7460, 30.08618
677.2281, 29.10365
677.7103, 28.55416
678.1924, 28.64833
678.6745, 29.02250
679.1566, 29.48902
679.6387, 30.13759
680.1208, 30.41391
680.6030, 30.22378
681.0851, 29.83781
681.5672, 29.53519
682.0493, 29.31824
682.5314, 29.16716
683.0135, 29.03875
683.4957, 29.07158
683.9778, 29.68748
684.4599, 30.53875
684.9420, 30.95153
685.4241, 30.10372
685.9063, 29.38791
686.3884, 29.44318
686.8705, 30.06222
687.3526, 30.51246
687.8347, 30.81626
688.3168, 30.84902
688.7990, 30.43965
689.2811, 29.70245
689.7632, 29.51772
690.2453, 29.96987
690.7274, 30.39412
691.2095, 30.26727
691.6917, 29.82323
692.1738, 29.88445
692.6559, 30.42968
693.1380, 30.80908
693.6201, 30.33972
694.1022, 29.59651
694.5844, 29.10430
695.0665, 28.94563
695.5486, 28.97212
696.0307, 29.31551
696.5128, 29.70663
696.9949, 29.93903
697.4771, 29.98741
697.9592, 29.91865
698.4413, 29.70093
698.9234, 29.40807
699.4055, 29.05897
699.8876, 28.64821
700.3698, 28.56444
700.8519, 28.98237
701.3340, 29.46075
701.8161, 29.23458
702.2982, 28.57436
702.7803, 28.15985
703.2625, 28.33004
703.7446, 28.72315
704.2267, 29.30871
704.7088, 29.92761
705.1909, 30.22309
705.6730, 29.87759
706.1552, 29.43076
706.6373, 28.86874
707.1194, 28.28944
707.6015, 28.20464
708.0836, 28.77167
708.5657, 29.36165
709.0479, 29.74600
709.5300, 29.94560
710.0121, 30.02418
710.4942, 29.98447
710.9763, 29.90082
711.4584, 29.82665
711.9406, 29.73503
712.4227, 29.57143
712.9048, 29.33630
713.3869, 29.13205
713.8690, 28.85897
714.3511, 28.74496
714.8333, 29.07702
715.3154, 30.26703
715.7975, 30.52121
716.2796, 29.09716
716.7617, 27.63977
717.2438, 27.62102
717.7260, 29.22748
718.2081, 30.24319
718.6902, 30.49301
719.1723, 30.30580
719.6544, 29.76110
720.1365, 29.09107
720.6187, 28.95412
721.1008, 29.65440
721.5829, 30.41954
722.0650, 30.70249
722.5471, 30.68796
723.0292, 30.62875
723.5114, 30.71014
723.9935, 30.60252
724.4756, 29.94599
724.9577, 29.18080
725.4398, 29.14008
725.9219, 30.16105
726.4041, 30.87616
726.8862, 30.97667
727.3683, 30.61001
727.8504, 29.91299
728.3325, 28.97238
728.8146, 28.39710
729.2968, 28.70036
729.7789, 29.31179
730.2610, 29.62423
730.7431, 29.70328
731.2252, 29.76674
731.7073, 29.93388
732.1895, 30.08051
732.6716, 30.14185
733.1537, 30.12166
733.6358, 30.12144
734.1179, 30.18555
734.6000, 30.18765
735.0822, 30.01194
735.5643, 29.69958
736.0464, 29.74951
736.5285, 30.18274
737.0106, 30.56362
737.4927, 30.48742
737.9749, 30.18873
738.4570, 30.05100
738.9391, 30.09445
739.4212, 30.22601
739.9033, 30.47521
740.3854, 30.73177
740.8676, 30.94967
741.3497, 31.17070
741.8318, 31.13640
742.3139, 30.70086
742.7960, 30.16711
743.2781, 29.68879
743.7603, 29.23840
744.2424, 29.06030
744.7245, 29.18726
745.2066, 29.47863
745.6887, 29.99234
746.1708, 30.54502
746.6530, 30.53874
747.1351, 29.75434
747.6172, 29.04372
748.0993, 29.05008
748.5814, 29.47012
749.0635, 29.98239
749.5457, 30.75307
750.0278, 31.23365
750.5099, 31.23205
750.9920, 30.98601
751.4741, 30.71346
751.9562, 30.36428
