##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
603.6115, 3.428394
604.0936, 2.042215
604.5757, 2.968980
605.0578, 4.155884
605.5399, 4.320062
606.0220, 3.615455
606.5042, 2.887341
606.9863, 2.547370
607.4684, 2.526400
607.9505, 2.742154
608.4326, 3.194389
608.9147, 3.871316
609.3969, 5.025114
609.8790, 5.926735
610.3611, 5.462343
610.8432, 3.777435
611.3253, 2.749182
611.8074, 2.909739
612.2896, 3.420732
612.7717, 4.058014
613.2538, 4.685555
613.7359, 5.168715
614.2180, 5.448524
614.7001, 5.352230
615.1823, 4.528296
615.6644, 2.895370
616.1465, 2.271137
616.6286, 3.623012
617.1107, 4.667787
617.5928, 4.694918
618.0750, 4.226451
618.5571, 3.763062
619.0392, 3.409063
619.5213, 3.041132
620.0034, 2.228427
620.4855, 1.426099
620.9677, 1.991594
621.4498, 4.011514
621.9319, 5.593040
622.4140, 5.832367
622.8961, 5.107748
623.3782, 3.964094
623.8604, 1.964643
624.3425, 0.9312650
624.8246, 2.012902
625.3067, 3.291381
625.7888, 3.191002
626.2709, 2.227846
626.7531, 2.055621
627.2352, 3.512461
627.7173, 5.425560
628.1994, 5.427912
628.6815, 3.030846
629.1636, 1.433971
629.6458, 1.085597
630.1279, 1.232982
630.6100, 1.680243
631.0921, 2.263010
631.5742, 2.686942
632.0563, 2.858406
632.5385, 2.911133
633.0206, 2.880250
633.5027, 2.814449
633.9848, 2.854896
634.4669, 3.001733
634.9490, 3.197647
635.4312, 3.530028
635.9133, 3.946102
636.3954, 3.976643
636.8775, 2.749256
637.3596, 2.326956
637.8417, 3.826642
638.3239, 5.294603
638.8060, 5.142497
639.2881, 3.631190
639.7702, 2.069505
640.2523, 1.113391
640.7344, 0.7382940
641.2166, 1.201498
641.6987, 2.570813
642.1808, 3.168501
642.6629, 2.297709
643.1450, 1.177182
643.6271, 0.5537780
644.1093, 0.4646280
644.5914, 1.066249
645.0735, 3.357462
645.5556, 4.916610
646.0377, 3.956895
646.5198, 1.761562
647.0020, 0.1927220
647.4841, 0.3540380
647.9662, 0.2372460
648.4483, 0.3086910
648.9304, 1.197683
649.4125, 1.805327
649.8947, 1.821664
650.3768, 2.137724
650.8589, 3.620377
651.3410, 4.871853
651.8231, 4.588321
652.3052, 3.026117
652.7874, 1.754255
653.2695, 1.502138
653.7516, 2.008441
654.2337, 3.349711
654.7158, 5.242772
655.1979, 6.205605
655.6801, 5.733372
656.1622, 4.684398
656.6443, 3.897060
657.1264, 3.366457
657.6085, 3.265315
658.0906, 4.283525
658.5728, 4.769413
659.0549, 3.794893
659.5370, 2.507833
660.0191, 2.109701
660.5012, 2.592694
660.9833, 3.319820
661.4655, 3.745220
661.9476, 4.041534
662.4297, 4.741508
662.9118, 5.927497
663.3939, 6.004718
663.8760, 3.808922
664.3582, 1.193860
664.8403, 0.5974630
665.3224, 1.836353
665.8045, 2.739361
666.2866, 2.681272
666.7687, 2.500340
667.2509, 2.625784
667.7330, 2.951063
668.2151, 3.325540
