##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
692.6559, 10.10254
693.1380, 12.90894
693.6201, 15.08008
694.1022, 16.28076
694.5844, 16.83398
695.0665, 16.42822
695.5486, 15.58105
696.0307, 14.98438
696.5128, 15.12549
696.9949, 14.90552
697.4771, 13.44482
697.9592, 11.89331
698.4413, 12.82422
698.9234, 17.06641
699.4055, 20.44385
699.8876, 22.01147
700.3698, 22.07202
700.8519, 20.22046
701.3340, 16.85181
701.8161, 14.51904
702.2982, 15.92358
702.7803, 17.93652
703.2625, 16.63916
703.7446, 12.99243
704.2267, 11.11157
704.7088, 15.60938
705.1909, 19.53247
705.6730, 18.43604
706.1552, 11.53589
706.6373, 7.568848
707.1194, 7.455322
707.6015, 9.076172
708.0836, 11.89648
708.5657, 15.99048
709.0479, 17.36987
709.5300, 15.63086
710.0121, 13.33765
710.4942, 12.76245
710.9763, 13.29590
711.4584, 13.56738
711.9406, 13.27124
712.4227, 13.53540
712.9048, 16.81909
713.3869, 20.31958
713.8690, 20.83545
714.3511, 14.84741
714.8333, 10.88892
715.3154, 13.01733
715.7975, 16.80249
716.2796, 17.51172
716.7617, 14.06372
717.2438, 10.74268
717.7260, 8.111084
718.2081, 5.916016
718.6902, 3.291260
719.1723, 0.4299320
719.6544, 1.224121
720.1365, 0.7922360
720.6187, 0.4821780
721.1008, 1.181641
721.5829, 1.392822
722.0650, 2.355713
722.5471, 6.366699
723.0292, 10.04321
723.5114, 11.54858
723.9935, 11.27051
724.4756, 11.12842
724.9577, 11.28003
725.4398, 11.34424
725.9219, 11.24390
726.4041, 10.87012
726.8862, 10.22388
727.3683, 9.140625
727.8504, 9.941406
