##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
401.0786, 3.895775
401.5607, 4.070183
402.0428, 3.212059
402.5250, 2.646137
403.0071, 2.675167
403.4892, 3.089813
403.9713, 3.718239
404.4534, 4.502014
404.9355, 5.379185
405.4177, 6.357399
405.8998, 7.608532
406.3819, 7.935993
406.8640, 6.612930
407.3461, 5.198967
407.8282, 4.329430
408.3104, 4.054718
408.7925, 4.203030
409.2746, 4.737118
409.7567, 5.641579
410.2388, 6.563004
410.7209, 7.958885
411.2031, 8.731525
411.6852, 8.486877
412.1673, 7.768017
412.6494, 6.914909
413.1315, 6.135132
413.6136, 5.563126
414.0958, 5.622715
414.5779, 6.470806
415.0600, 7.361828
415.5421, 8.740631
416.0242, 9.736328
416.5063, 9.870430
416.9885, 9.326996
417.4706, 8.559814
417.9527, 7.792152
418.4348, 7.069893
418.9169, 6.477795
419.3990, 5.898140
419.8812, 5.873116
420.3633, 6.978222
420.8454, 8.247646
421.3275, 8.839596
421.8096, 8.542831
422.2917, 8.008530
422.7739, 7.848816
423.2560, 8.051041
423.7381, 8.388454
424.2202, 8.963219
424.7023, 9.472614
425.1844, 9.718380
425.6666, 9.671394
426.1487, 9.378304
426.6308, 8.798416
427.1129, 8.124168
427.5950, 7.489040
428.0771, 6.737682
428.5593, 6.473698
429.0414, 7.205379
429.5235, 8.564327
