##NAMES=Katoite
##RRUFFID=R070646
##IDEAL CHEMISTRY=Ca_3_Al_2_(OH)_12_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=White to colorless powder mixed with small trapezohedral crystals, sample from Lager et al (2002) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070646
573.4208, 63.18573
573.9030, 58.89807
574.3851, 54.49731
574.8672, 50.32312
575.3493, 45.95490
575.8314, 42.33661
576.3135, 40.30817
576.7957, 39.88922
577.2778, 38.50269
577.7599, 35.64355
578.2420, 32.30054
578.7241, 28.89252
579.2062, 25.19653
579.6884, 22.35498
580.1705, 20.55084
580.6526, 19.18842
581.1347, 17.81213
581.6168, 16.38617
582.0989, 13.89960
582.5811, 9.509644
583.0632, 5.116943
583.5453, 4.369568
584.0274, 6.358398
584.5095, 7.770691
584.9916, 5.944458
585.4738, 3.442322
585.9559, 3.057556
586.4380, 4.525208
586.9201, 5.274719
587.4022, 3.207642
587.8843, 0.6773070
588.3665, 0.7563480
588.8486, 0.5518800
589.3307, 0.3852540
589.8128, 0.2999880
590.2949, 0.4360350
590.7770, 0.9670410
591.2592, 2.185425
591.7413, 3.125183
592.2234, 3.645630
592.7055, 3.869019
593.1876, 3.993591
593.6697, 3.994568
594.1519, 4.143860
594.6340, 4.676392
595.1161, 5.343689
595.5982, 5.394836
596.0803, 4.894165
596.5624, 4.473511
597.0446, 4.534546
597.5267, 4.935974
598.0088, 5.611328
598.4909, 6.589905
598.9730, 7.400574
599.4551, 7.930176
599.9373, 8.108948
600.4194, 7.853394
600.9015, 6.863403
601.3836, 5.874756
601.8657, 4.939758
602.3478, 4.097412
602.8300, 3.373108
603.3121, 2.610535
603.7942, 2.257507
604.2763, 2.410889
604.7584, 3.028381
605.2405, 4.231873
605.7227, 6.190491
606.2048, 7.506226
606.6869, 7.191284
607.1690, 5.652893
607.6511, 4.128479
608.1332, 2.613770
608.6154, 1.317261
609.0975, 0.1757200
609.5796, 0.5758670
610.0617, 0.3912960
610.5438, 1.201416
611.0259, 2.317749
611.5081, 1.230591
611.9902, 0.6459350
612.4723, 1.645508
612.9544, 0.3814090
613.4365, 0.6284180
613.9186, 1.083252
614.4008, 1.003784
614.8829, 0.2310180
615.3650, 1.896545
615.8471, 3.250549
616.3292, 2.803284
616.8113, 0.9500120
617.2935, 0.7150880
617.7756, 2.280518
618.2577, 3.943787
618.7398, 4.419556
619.2219, 4.113586
619.7040, 4.157471
620.1862, 4.623657
620.6683, 5.254089
621.1504, 6.130432
621.6325, 6.920532
622.1146, 7.210999
622.5967, 6.766724
623.0789, 6.133240
623.5610, 5.140808
624.0431, 4.235474
624.5252, 4.050537
625.0073, 5.455994
625.4894, 6.707336
625.9716, 7.596558
626.4537, 8.161987
626.9358, 8.425049
627.4179, 8.107788
627.9000, 8.278015
628.3821, 9.716309
628.8643, 12.06140
629.3464, 12.61511
629.8285, 11.31299
630.3106, 10.06250
630.7927, 10.31201
631.2748, 11.57880
631.7570, 13.19989
632.2391, 15.17249
632.7212, 16.68756
633.2033, 16.95312
633.6854, 16.52460
634.1675, 15.94336
634.6497, 15.10315
635.1318, 14.56622
635.6139, 14.81219
636.0960, 15.37683
636.5781, 15.49304
637.0602, 14.62585
637.5424, 14.20154
638.0245, 14.52594
638.5066, 15.41180
638.9887, 16.49280
639.4708, 17.89551
639.9529, 18.59814
640.4351, 17.60559
640.9172, 15.66656
641.3993, 15.23590
641.8814, 16.24005
642.3635, 17.87848
642.8456, 20.49036
643.3278, 22.93158
643.8099, 23.62927
644.2920, 22.30072
644.7741, 20.63928
645.2562, 19.16180
645.7383, 17.91266
646.2205, 16.93268
646.7026, 16.13464
647.1847, 15.93860
647.6668, 16.56226
648.1489, 17.63007
648.6310, 18.76624
649.1132, 20.04083
649.5953, 20.92896
650.0774, 21.41443
650.5595, 21.46851
651.0416, 20.80176
651.5237, 19.47998
652.0059, 18.34668
652.4880, 17.96503
652.9701, 17.80402
653.4522, 16.93719
653.9343, 15.58795
654.4164, 14.63971
654.8986, 14.43585
655.3807, 14.86121
655.8628, 16.23193
656.3449, 18.65997
656.8270, 20.10406
657.3091, 19.71173
657.7913, 18.60559
658.2734, 17.32190
658.7555, 15.70245
659.2376, 14.73169
659.7197, 14.72717
660.2018, 14.81708
660.6840, 13.74634
661.1661, 11.54022
661.6482, 10.14581
662.1303, 9.930359
662.6124, 10.32697
663.0945, 10.86462
663.5767, 11.33362
664.0588, 11.38373
664.5409, 11.03973
665.0230, 10.33405
665.5051, 8.598389
665.9872, 6.437866
666.4694, 5.325623
666.9515, 6.688416
667.4336, 8.148132
667.9157, 9.039001
668.3978, 9.271667
668.8799, 8.770447
669.3621, 7.395691
669.8442, 6.031067
670.3263, 4.998535
670.8084, 4.167053
671.2905, 2.947144
671.7726, 1.263367
672.2548, 0.3380740
672.7369, 2.120789
673.2190, 5.305054
673.7011, 6.641846
674.1832, 5.504517
674.6653, 4.455139
675.1475, 6.275696
675.6296, 9.005432
676.1117, 10.30719
676.5938, 8.585754
677.0759, 7.156311
677.5580, 7.080078
678.0402, 7.546631
678.5223, 7.477783
679.0044, 6.575317
679.4865, 5.698120
679.9686, 4.802185
680.4507, 4.127686
680.9329, 4.520569
681.4150, 5.958496
681.8971, 6.708008
682.3792, 5.649536
682.8613, 4.071960
683.3434, 4.405090
683.8256, 6.189209
684.3077, 7.647827
684.7898, 7.897766
685.2719, 7.387512
685.7540, 5.940369
686.2361, 3.699524
686.7183, 2.333435
687.2004, 2.777222
687.6825, 3.781555
688.1646, 5.028503
688.6467, 6.738464
689.1288, 6.811584
689.6110, 4.463135
690.0931, 2.130859
690.5752, 1.940063
691.0573, 3.725891
691.5394, 5.233093
692.0215, 6.253784
692.5037, 7.152161
692.9858, 9.054688
693.4679, 10.87781
693.9500, 10.35022
694.4321, 5.810608
694.9142, 1.868469
695.3964, 2.104553
695.8785, 4.213928
696.3606, 5.244202
696.8427, 3.525635
