##NAMES=Moorhouseite
##RRUFFID=R130745
##IDEAL CHEMISTRY=Co^2+^S^6+^O_4_&#183;6H_2_O
##LOCALITY=Bou Azer, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Light-pinkish fine grains, associated with pink or dark pink spherocobaltite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130745
490.7042, 65.40863
491.1863, 65.63751
491.6685, 66.86346
492.1506, 67.65753
492.6327, 66.99750
493.1148, 65.21539
493.5969, 63.84827
494.0790, 62.93237
494.5612, 62.06482
495.0433, 60.91833
495.5254, 59.59619
496.0075, 58.08710
496.4896, 56.07971
496.9717, 54.17664
497.4539, 53.26910
497.9360, 53.01654
498.4181, 52.56372
498.9002, 51.20007
499.3823, 49.72424
499.8644, 48.77222
500.3466, 48.40961
500.8287, 47.59045
501.3108, 45.53125
501.7929, 43.13190
502.2750, 41.08264
502.7571, 39.35986
503.2393, 38.09430
503.7214, 37.82159
504.2035, 37.86993
504.6856, 36.70007
505.1677, 33.43774
505.6498, 30.60095
506.1320, 29.15302
506.6141, 29.01093
507.0962, 27.96393
507.5783, 25.85114
508.0604, 23.75574
508.5425, 22.53918
509.0247, 22.07788
509.5068, 21.76251
509.9889, 21.68048
510.4710, 21.37720
510.9531, 19.81549
511.4352, 17.40369
511.9174, 15.55103
512.3995, 15.19415
512.8816, 15.45520
513.3637, 15.37683
513.8458, 14.98010
514.3279, 14.41638
514.8101, 13.69830
515.2922, 12.87396
515.7743, 11.95667
516.2564, 10.90381
516.7385, 9.855164
517.2206, 8.806030
517.7028, 7.805237
518.1849, 6.916748
518.6670, 6.260376
519.1491, 5.591980
519.6312, 4.730896
520.1133, 3.815857
520.5955, 3.454529
521.0776, 4.083435
521.5597, 4.579468
522.0418, 4.402649
522.5239, 3.477844
523.0060, 2.831299
523.4882, 2.459839
523.9703, 2.406189
524.4524, 3.009216
524.9345, 4.180908
525.4166, 4.570557
525.8987, 3.686157
526.3809, 2.378113
526.8630, 2.180481
527.3451, 2.786133
527.8272, 2.966370
528.3093, 1.229065
528.7914, 0.7700810
529.2736, 0.9111330
529.7557, 0.6938480
530.2378, 2.106506
530.7199, 1.751038
531.2020, 1.002380
531.6841, 1.137146
532.1663, 3.122192
532.6484, 4.349426
533.1305, 3.457397
533.6126, 1.646973
534.0947, 0.6351930
534.5768, 1.314392
535.0590, 1.925720
535.5411, 2.361877
536.0232, 2.574524
536.5053, 2.045471
536.9874, 0.3110350
537.4695, 1.079407
537.9517, 1.158081
538.4338, 0.1597290
538.9159, 1.213806
539.3980, 2.049500
539.8801, 2.438293
540.3622, 1.731628
540.8444, 0.2215580
541.3265, 0.6269530
541.8086, 0.2433470
542.2907, 0.3930050
542.7728, 0.3037720
543.2549, 1.847351
543.7371, 2.817871
544.2192, 1.999878
544.7013, 0.7067260
545.1834, 0.1679690
545.6655, 0.6120000
546.1476, 0.8182980
546.6298, 0.9105830
547.1119, 0.7812500
547.5940, 0.2979740
548.0761, 0.9367070
548.5582, 1.714355
549.0403, 1.701721
549.5225, 1.306580
550.0046, 1.015808
550.4867, 0.9391480
550.9688, 0.7188110
551.4509, 0.1568600
551.9330, 0.5469970
552.4152, 0.4450680
552.8973, 0.6791380
553.3794, 1.373047
553.8615, 0.5100710
554.3436, 1.522034
554.8257, 2.665100
555.3079, 2.883179
555.7900, 2.573608
556.2721, 1.655579
556.7542, 0.5499880
557.2363, 0.1199340
557.7184, 0.7382200
558.2006, 1.517517
558.6827, 1.904358
559.1648, 1.961853
559.6469, 1.801819
