##NAMES=Gaitite
##RRUFFID=R130625
##IDEAL CHEMISTRY=Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Municipio de Pitiquito, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Grey to white tabular or granular crystals, associated with colorless irregular austinite and quartz
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130625
543.6647, 1.090698
544.1469, 4.033203
544.6290, 6.446167
545.1111, 7.294312
545.5932, 7.061890
546.0753, 6.213440
546.5574, 4.779846
547.0396, 3.498474
547.5217, 2.588623
548.0038, 2.049438
548.4859, 1.994080
548.9680, 2.462280
549.4501, 2.856018
549.9323, 3.039246
550.4144, 3.137756
550.8965, 3.098938
551.3786, 3.044739
551.8607, 3.375061
552.3428, 4.337524
552.8250, 5.641174
553.3071, 6.589172
553.7892, 7.285706
554.2713, 7.394958
554.7534, 6.500488
555.2355, 5.486145
555.7177, 4.786560
556.1998, 4.400879
556.6819, 4.194092
557.1640, 4.126465
557.6461, 4.111450
558.1282, 3.904968
558.6104, 3.442200
559.0925, 3.218262
559.5746, 3.382507
560.0567, 3.801636
560.5388, 4.473389
561.0209, 5.330811
561.5031, 5.912598
561.9852, 5.949158
562.4673, 5.693176
562.9494, 4.866455
563.4315, 3.798218
563.9136, 4.489197
564.3958, 8.202332
564.8779, 12.56879
565.3600, 13.30145
565.8421, 8.310425
566.3242, 5.568420
566.8063, 6.939392
567.2885, 8.779053
567.7706, 8.907349
568.2527, 7.922424
568.7348, 7.516235
569.2169, 8.633972
569.6990, 10.32776
570.1812, 10.66217
570.6633, 9.130676
571.1454, 8.102783
571.6275, 8.080505
572.1096, 8.280823
572.5917, 8.739319
573.0739, 9.269226
573.5560, 9.247620
574.0381, 8.223633
574.5202, 6.913452
575.0023, 5.952942
575.4844, 5.334106
575.9666, 5.143311
576.4487, 5.439941
576.9308, 5.940308
577.4129, 6.599365
577.8950, 7.395752
578.3771, 7.742249
578.8593, 7.077637
579.3414, 6.350037
579.8235, 6.268127
580.3056, 6.631104
580.7877, 6.978943
581.2698, 7.137756
581.7520, 7.246094
582.2341, 7.523865
582.7162, 7.994385
583.1984, 8.134338
583.6805, 7.754211
584.1626, 7.292297
584.6447, 6.781311
585.1268, 6.383972
585.6089, 6.372803
586.0911, 6.776550
586.5732, 6.947754
587.0553, 5.988831
587.5374, 4.334412
588.0195, 3.856567
588.5016, 4.954712
588.9838, 5.933899
589.4659, 5.575623
589.9480, 4.342163
590.4301, 3.752197
590.9122, 4.438049
591.3943, 4.535828
591.8765, 2.396912
592.3586, 1.9470001E-02
592.8407, 0.1083980
593.3228, 2.008362
593.8049, 4.531921
594.2870, 6.207397
594.7692, 7.010864
595.2513, 6.750610
595.7334, 3.930176
596.2155, 2.812134
596.6976, 5.290100
597.1797, 8.179993
597.6619, 9.338806
598.1440, 8.866028
598.6261, 8.103149
599.1082, 7.747253
599.5903, 7.666809
600.0724, 7.663940
600.5546, 7.724365
601.0367, 7.850708
601.5188, 8.145081
602.0009, 8.454712
602.4830, 8.451416
602.9651, 8.124756
603.4473, 8.317261
603.9294, 9.823914
604.4115, 11.21948
604.8936, 11.64124
605.3757, 11.30096
605.8578, 10.50916
606.3400, 9.409424
606.8221, 8.447815
607.3042, 8.286072
607.7863, 9.038818
608.2684, 9.894165
608.7505, 11.57678
609.2327, 12.48065
609.7148, 11.65155
610.1969, 10.03400
610.6790, 8.704895
611.1611, 7.950562
611.6432, 7.669373
612.1254, 7.985779
