##NAMES=Galeite
##RRUFFID=R160078
##IDEAL CHEMISTRY=Na_15_(S^6+^O_4_)_5_ClF_4_
##LOCALITY=Searles Lake, San Bernardino County, California, USA
##OWNER=UAMM
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale grey barrel-shaped crystals, intergrown with schairerite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R160078
4.077801e+002, 4.464563e+004
4.082622e+002, 4.468256e+004
4.087444e+002, 4.473705e+004
4.092265e+002, 4.478202e+004
4.097086e+002, 4.480915e+004
4.101907e+002, 4.482728e+004
4.106728e+002, 4.485672e+004
4.111549e+002, 4.489588e+004
4.116371e+002, 4.493102e+004
4.121192e+002, 4.494307e+004
4.126013e+002, 4.494562e+004
4.130834e+002, 4.497322e+004
4.135655e+002, 4.503088e+004
4.140476e+002, 4.509133e+004
4.145298e+002, 4.513264e+004
4.150119e+002, 4.515719e+004
4.154940e+002, 4.517075e+004
4.159761e+002, 4.516684e+004
4.164582e+002, 4.515947e+004
4.169403e+002, 4.515946e+004
4.174225e+002, 4.516668e+004
4.179046e+002, 4.517946e+004
4.183867e+002, 4.520855e+004
4.188688e+002, 4.523680e+004
4.193509e+002, 4.524649e+004
4.198330e+002, 4.522155e+004
4.203152e+002, 4.520675e+004
4.207973e+002, 4.523129e+004
4.212794e+002, 4.527658e+004
4.217615e+002, 4.530875e+004
4.222436e+002, 4.530745e+004
4.227257e+002, 4.530342e+004
4.232079e+002, 4.530715e+004
4.236900e+002, 4.532030e+004
4.241721e+002, 4.533416e+004
4.246542e+002, 4.534427e+004
4.251363e+002, 4.535720e+004
4.256184e+002, 4.537750e+004
4.261006e+002, 4.540044e+004
4.265827e+002, 4.543742e+004
4.270648e+002, 4.549885e+004
4.275469e+002, 4.557374e+004
4.280290e+002, 4.562113e+004
4.285111e+002, 4.562790e+004
4.289933e+002, 4.563046e+004
4.294754e+002, 4.564491e+004
4.299575e+002, 4.567300e+004
4.304396e+002, 4.569506e+004
4.309217e+002, 4.570924e+004
4.314038e+002, 4.572026e+004
4.318860e+002, 4.573509e+004
4.323681e+002, 4.575412e+004
4.328502e+002, 4.576896e+004
4.333323e+002, 4.577641e+004
4.338144e+002, 4.577999e+004
4.342965e+002, 4.578806e+004
4.347787e+002, 4.580129e+004
4.352608e+002, 4.581905e+004
