##NAMES=Katoptrite
##RRUFFID=R140009
##IDEAL CHEMISTRY=Mn^2+^_13_Al_4_Sb^5+^_2_O_20_(SiO_4_)_2_
##LOCALITY=Brattfors mine, Nordmark, Filipstad, Värmland, Sweden
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Black grains, thin black splinters or flakes
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R140009
634.5751, 7.039818
635.0572, 7.042831
635.5393, 7.274048
636.0214, 7.607071
636.5035, 8.121140
636.9857, 8.641159
637.4678, 9.031586
637.9499, 9.279877
638.4320, 9.450417
638.9141, 9.505737
639.3962, 9.594894
639.8784, 9.985603
640.3605, 10.60117
640.8426, 11.10847
641.3247, 11.34713
641.8068, 11.55882
642.2889, 12.02110
642.7711, 12.65962
643.2532, 13.31756
643.7353, 13.92816
644.2174, 14.53136
644.6995, 15.01692
645.1816, 15.45141
645.6638, 16.27016
646.1459, 17.86403
646.6280, 19.52356
647.1101, 21.05864
647.5922, 22.45573
648.0743, 23.69540
648.5565, 24.67169
649.0386, 25.74178
649.5207, 27.26790
650.0028, 29.17392
650.4849, 30.72392
650.9670, 31.79267
651.4492, 32.91598
651.9313, 34.74458
652.4134, 37.02390
652.8955, 39.21930
653.3776, 41.18771
653.8597, 43.08848
654.3419, 44.94215
654.8240, 46.83198
655.3061, 48.85975
655.7882, 51.26534
656.2703, 53.63070
656.7524, 55.70376
657.2346, 57.62760
657.7167, 59.89420
658.1988, 62.72070
658.6809, 65.45192
659.1630, 67.85525
659.6451, 69.96178
660.1273, 71.93027
660.6094, 73.79024
661.0915, 75.61102
661.5736, 77.43658
662.0557, 79.26914
662.5378, 81.13186
663.0200, 83.02809
663.5021, 84.92599
663.9842, 86.92503
664.4663, 88.84805
664.9484, 90.46680
665.4305, 91.60816
665.9127, 92.87020
666.3948, 94.70966
666.8769, 96.55649
667.3590, 97.84795
667.8411, 98.30518
668.3232, 98.74078
668.8054, 99.19117
669.2875, 99.63316
669.7696, 100.0471
670.2517, 100.4363
670.7338, 100.2984
671.2159, 99.37836
671.6981, 98.05492
672.1802, 96.89825
672.6623, 95.83327
673.1444, 94.61543
673.6265, 93.22340
674.1086, 91.58102
674.5908, 89.59955
675.0729, 87.32404
675.5550, 84.89394
676.0371, 82.03004
676.5192, 79.32160
677.0013, 77.06076
677.4835, 75.29482
677.9656, 73.27103
678.4477, 70.82516
678.9298, 68.38493
679.4119, 66.29544
679.8940, 64.53383
680.3762, 62.78114
680.8583, 61.00911
681.3404, 59.20030
681.8225, 57.29607
682.3046, 55.33229
682.7867, 53.29394
683.2689, 51.13275
683.7510, 49.11791
684.2331, 47.55172
684.7152, 46.24708
685.1973, 45.00420
685.6794, 44.05356
686.1616, 42.79967
686.6437, 40.84724
687.1258, 38.59408
687.6079, 36.79906
688.0900, 35.66779
688.5721, 34.50877
689.0543, 33.15116
689.5364, 31.67873
690.0185, 30.31143
690.5006, 29.05171
690.9827, 27.82629
691.4648, 26.60619
691.9470, 25.38200
692.4291, 24.06388
692.9112, 22.68130
