##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
516.7385, 41.25330
517.2206, 40.13647
517.7028, 38.86597
518.1849, 37.30640
518.6670, 34.62531
519.1491, 32.61591
519.6312, 32.12164
520.1133, 32.62695
520.5955, 31.76758
521.0776, 28.63959
521.5597, 25.72095
522.0418, 24.18158
522.5239, 24.19250
523.0060, 23.79346
523.4882, 22.83942
523.9703, 21.92236
524.4524, 21.76111
524.9345, 22.30353
525.4166, 22.81256
525.8987, 23.24377
526.3809, 23.39508
526.8630, 22.65790
527.3451, 21.26221
527.8272, 20.18945
528.3093, 20.09882
528.7914, 20.46082
529.2736, 20.77765
529.7557, 21.02527
530.2378, 21.14813
530.7199, 20.98737
531.2020, 20.75549
531.6841, 20.69434
532.1663, 21.14172
532.6484, 21.09961
533.1305, 19.78046
533.6126, 17.99219
534.0947, 16.88678
534.5768, 17.46124
535.0590, 17.64276
535.5411, 17.03931
536.0232, 15.77356
536.5053, 14.49396
536.9874, 13.11127
537.4695, 11.97626
537.9517, 11.25470
538.4338, 10.94678
538.9159, 11.09314
539.3980, 11.71326
539.8801, 12.68994
540.3622, 14.51843
540.8444, 16.76294
541.3265, 17.17023
541.8086, 14.52795
542.2907, 11.29218
542.7728, 11.10309
543.2549, 12.99359
543.7371, 14.21069
544.2192, 12.50793
544.7013, 10.21863
545.1834, 9.327820
545.6655, 9.770203
546.1476, 9.737671
546.6298, 7.876770
547.1119, 5.704346
547.5940, 4.266846
548.0761, 4.191467
548.5582, 3.864563
549.0403, 2.851501
549.5225, 1.679382
550.0046, 1.013123
550.4867, 1.161255
550.9688, 1.166260
551.4509, 0.7489010
551.9330, 9.6740998E-02
552.4152, 6.7099999E-04
552.8973, 0.5606080
553.3794, 1.016602
553.8615, 0.8638920
554.3436, 0.2293090
554.8257, 0.1884160
555.3079, 0.3877560
555.7900, 0.4534300
556.2721, 0.3942260
556.7542, 0.2670900
557.2363, 0.1817630
557.7184, 0.1727290
558.2006, 0.1597900
558.6827, 0.1105350
559.1648, 0.4022830
559.6469, 0.3214110
560.1290, 0.7342530
560.6111, 1.730896
561.0933, 2.225281
561.5754, 2.272644
562.0575, 2.291565
562.5396, 2.613525
563.0217, 2.652405
563.5038, 2.064331
563.9860, 0.6011350
564.4681, 0.3207400
564.9502, 0.6110230
565.4323, 0.4968870
