##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
3.430712e+002, 6.730205e+002
3.435533e+002, 6.736027e+002
3.440354e+002, 6.754769e+002
3.445175e+002, 6.780216e+002
3.449997e+002, 6.810049e+002
3.454818e+002, 6.818507e+002
3.459639e+002, 6.783489e+002
3.464460e+002, 6.729282e+002
3.469281e+002, 6.724363e+002
3.474102e+002, 6.767563e+002
3.478924e+002, 6.814164e+002
3.483745e+002, 6.825416e+002
3.488566e+002, 6.810853e+002
3.493387e+002, 6.794120e+002
3.498208e+002, 6.777768e+002
3.503029e+002, 6.765620e+002
3.507851e+002, 6.766646e+002
3.512672e+002, 6.777965e+002
3.517493e+002, 6.787222e+002
3.522314e+002, 6.783859e+002
3.527135e+002, 6.775162e+002
3.531956e+002, 6.770787e+002
3.536778e+002, 6.772507e+002
3.541599e+002, 6.776562e+002
3.546420e+002, 6.780999e+002
3.551241e+002, 6.785400e+002
3.556062e+002, 6.788911e+002
3.560883e+002, 6.790584e+002
3.565705e+002, 6.791600e+002
3.570526e+002, 6.792607e+002
3.575347e+002, 6.793631e+002
3.580168e+002, 6.795049e+002
3.584989e+002, 6.792136e+002
3.589810e+002, 6.791602e+002
3.594632e+002, 6.800469e+002
3.599453e+002, 6.839373e+002
3.604274e+002, 6.870526e+002
3.609095e+002, 6.870780e+002
3.613916e+002, 6.846435e+002
3.618737e+002, 6.832198e+002
3.623559e+002, 6.852361e+002
3.628380e+002, 6.877794e+002
3.633201e+002, 6.889983e+002
3.638022e+002, 6.873598e+002
3.642843e+002, 6.863615e+002
3.647664e+002, 6.873842e+002
3.652486e+002, 6.894473e+002
3.657307e+002, 6.904590e+002
3.662128e+002, 6.883937e+002
3.666949e+002, 6.868297e+002
3.671770e+002, 6.871628e+002
3.676591e+002, 6.903177e+002
3.681413e+002, 6.924793e+002
3.686234e+002, 6.929348e+002
3.691055e+002, 6.927593e+002
3.695876e+002, 6.932351e+002
3.700697e+002, 6.955522e+002
3.705518e+002, 6.966071e+002
3.710340e+002, 6.951360e+002
3.715161e+002, 6.913281e+002
3.719982e+002, 6.897131e+002
3.724803e+002, 6.911978e+002
3.729624e+002, 6.935446e+002
3.734445e+002, 6.951417e+002
3.739267e+002, 6.957338e+002
3.744088e+002, 6.966876e+002
3.748909e+002, 6.985665e+002
3.753730e+002, 7.006139e+002
3.758551e+002, 7.003765e+002
3.763372e+002, 6.973503e+002
3.768194e+002, 6.943141e+002
3.773015e+002, 6.928282e+002
3.777836e+002, 6.928865e+002
3.782657e+002, 6.925710e+002
3.787478e+002, 6.915944e+002
3.792299e+002, 6.910016e+002
3.797121e+002, 6.928785e+002
3.801942e+002, 6.969778e+002
3.806763e+002, 7.000665e+002
3.811584e+002, 7.006138e+002
3.816405e+002, 6.994364e+002
3.821227e+002, 6.983788e+002
3.826048e+002, 6.974207e+002
3.830869e+002, 6.970804e+002
3.835690e+002, 6.984261e+002
3.840511e+002, 7.007150e+002
3.845332e+002, 7.021019e+002
3.850154e+002, 7.020685e+002
3.854975e+002, 7.011682e+002
3.859796e+002, 6.990866e+002
3.864617e+002, 6.964194e+002
3.869438e+002, 6.953420e+002
3.874259e+002, 6.985800e+002
3.879081e+002, 7.033276e+002
3.883902e+002, 7.064977e+002
3.888723e+002, 7.075564e+002
3.893544e+002, 7.081221e+002
3.898365e+002, 7.091894e+002
3.903186e+002, 7.104769e+002
3.908008e+002, 7.115522e+002
3.912829e+002, 7.126402e+002
3.917650e+002, 7.131542e+002
3.922471e+002, 7.123440e+002
3.927292e+002, 7.103208e+002
3.932113e+002, 7.088946e+002
3.936935e+002, 7.093387e+002
3.941756e+002, 7.102833e+002
3.946577e+002, 7.107338e+002
3.951398e+002, 7.102386e+002
3.956219e+002, 7.096278e+002
3.961040e+002, 7.084963e+002
3.965862e+002, 7.073173e+002
3.970683e+002, 7.073861e+002
3.975504e+002, 7.112433e+002
3.980325e+002, 7.142107e+002
3.985146e+002, 7.142262e+002
3.989967e+002, 7.096785e+002
3.994789e+002, 7.073307e+002
3.999610e+002, 7.084384e+002
4.004431e+002, 7.109346e+002
4.009252e+002, 7.123165e+002
4.014073e+002, 7.116022e+002
4.018894e+002, 7.116754e+002
4.023716e+002, 7.135036e+002
4.028537e+002, 7.167969e+002
4.033358e+002, 7.187025e+002
4.038179e+002, 7.188463e+002
4.043000e+002, 7.184833e+002
4.047821e+002, 7.184412e+002
4.052643e+002, 7.187549e+002
4.057464e+002, 7.192034e+002
4.062285e+002, 7.199139e+002
4.067106e+002, 7.205545e+002
4.071927e+002, 7.199871e+002
4.076748e+002, 7.181561e+002
4.081570e+002, 7.174890e+002
4.086391e+002, 7.202465e+002
4.091212e+002, 7.253291e+002
4.096033e+002, 7.278249e+002
4.100854e+002, 7.275270e+002
4.105675e+002, 7.263978e+002
4.110497e+002, 7.261107e+002
4.115318e+002, 7.265739e+002
4.120139e+002, 7.276444e+002
4.124960e+002, 7.298218e+002
4.129781e+002, 7.319608e+002
4.134602e+002, 7.320152e+002
4.139424e+002, 7.304537e+002
4.144245e+002, 7.295085e+002
4.149066e+002, 7.318345e+002
4.153887e+002, 7.348982e+002
4.158708e+002, 7.356407e+002
4.163529e+002, 7.329969e+002
4.168351e+002, 7.304962e+002
4.173172e+002, 7.311731e+002
4.177993e+002, 7.332348e+002
4.182814e+002, 7.339045e+002
4.187635e+002, 7.300446e+002
4.192456e+002, 7.265006e+002
4.197278e+002, 7.257050e+002
4.202099e+002, 7.276552e+002
4.206920e+002, 7.297807e+002
4.211741e+002, 7.323793e+002
4.216562e+002, 7.343303e+002
4.221383e+002, 7.348988e+002
4.226205e+002, 7.315582e+002
4.231026e+002, 7.298180e+002
4.235847e+002, 7.311727e+002
4.240668e+002, 7.343663e+002
4.245489e+002, 7.362705e+002
4.250310e+002, 7.359896e+002
4.255132e+002, 7.355380e+002
4.259953e+002, 7.354860e+002
4.264774e+002, 7.358398e+002
4.269595e+002, 7.366361e+002
4.274416e+002, 7.381935e+002
4.279237e+002, 7.397700e+002
4.284059e+002, 7.404597e+002
4.288880e+002, 7.399286e+002
4.293701e+002, 7.398515e+002
4.298522e+002, 7.406409e+002
4.303343e+002, 7.420489e+002
4.308164e+002, 7.432360e+002
4.312986e+002, 7.442136e+002
4.317807e+002, 7.448646e+002
4.322628e+002, 7.450795e+002
4.327449e+002, 7.448830e+002
4.332270e+002, 7.442237e+002
4.337091e+002, 7.429230e+002
4.341912e+002, 7.419333e+002
4.346733e+002, 7.430081e+002
4.351555e+002, 7.455815e+002
4.356376e+002, 7.475788e+002
4.361197e+002, 7.474313e+002
4.366018e+002, 7.467551e+002
4.370839e+002, 7.482138e+002
4.375660e+002, 7.515526e+002
4.380482e+002, 7.544269e+002
4.385303e+002, 7.548083e+002
4.390124e+002, 7.540968e+002
4.394945e+002, 7.538016e+002
4.399766e+002, 7.542650e+002
4.404587e+002, 7.551068e+002
4.409409e+002, 7.562885e+002
4.414230e+002, 7.576686e+002
4.419051e+002, 7.590227e+002
4.423872e+002, 7.602249e+002
4.428693e+002, 7.613983e+002
