##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce^3+^_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
568.3250, 109.1621
568.8071, 114.1611
569.2892, 118.9766
569.7714, 124.0752
570.2535, 128.4668
570.7356, 129.9639
571.2177, 129.0537
571.6998, 128.4131
572.1819, 130.3545
572.6641, 132.6602
573.1462, 132.9932
573.6283, 130.2959
574.1104, 129.5664
574.5925, 134.1221
575.0746, 140.1787
575.5568, 144.4336
576.0389, 146.4951
576.5210, 146.3486
577.0031, 142.4912
577.4852, 137.1602
577.9673, 135.8936
578.4495, 141.3350
578.9316, 142.4336
579.4137, 133.8389
579.8958, 118.8291
580.3779, 111.6865
580.8600, 112.8457
581.3422, 114.8652
581.8243, 112.0840
582.3064, 106.6162
582.7885, 102.7295
583.2706, 100.7627
583.7527, 101.6064
584.2349, 110.8203
584.7170, 121.1582
585.1991, 122.5234
585.6812, 104.6836
586.1633, 89.61621
586.6454, 89.35840
587.1276, 98.18652
587.6097, 105.6611
588.0918, 113.6270
588.5739, 115.4980
589.0560, 107.4707
589.5381, 91.30371
590.0203, 79.45801
590.5024, 73.19238
590.9845, 68.90234
591.4666, 65.25879
591.9487, 62.43066
592.4308, 60.23242
592.9130, 59.04883
593.3951, 57.35352
593.8772, 53.07129
594.3593, 47.10840
594.8414, 41.56543
595.3235, 36.19238
595.8057, 33.75781
596.2878, 40.51562
596.7699, 51.88086
597.2520, 59.12402
597.7341, 55.20605
598.2162, 49.69238
598.6984, 46.39453
599.1805, 45.04883
599.6626, 44.75781
600.1447, 46.26465
600.6268, 47.70605
601.1089, 48.18945
601.5911, 47.54102
602.0732, 47.53125
602.5553, 48.49805
603.0374, 49.54980
603.5195, 50.32715
604.0016, 50.92969
604.4838, 50.32910
604.9659, 48.52344
605.4480, 45.97852
605.9301, 42.45020
606.4122, 38.07129
606.8943, 34.36719
607.3765, 31.76855
607.8586, 30.69824
608.3407, 32.58691
608.8228, 36.49707
609.3049, 39.43848
609.7870, 40.44922
610.2692, 38.60352
610.7513, 31.11816
611.2334, 19.19629
611.7155, 14.30273
612.1976, 27.51562
612.6797, 40.54688
613.1619, 44.86719
613.6440, 38.53711
614.1261, 32.99023
614.6082, 28.49121
615.0903, 24.32031
615.5724, 18.97266
616.0546, 12.30078
616.5367, 10.29492
617.0188, 14.83887
617.5009, 21.67383
617.9830, 23.54590
618.4651, 21.29102
618.9473, 19.70605
619.4294, 21.92676
619.9115, 24.19336
620.3936, 21.82227
620.8757, 16.22559
621.3578, 11.56348
621.8400, 8.750000
622.3221, 7.716797
622.8042, 9.971680
623.2863, 15.72363
623.7684, 18.83691
624.2505, 16.45801
624.7327, 13.10059
625.2148, 10.77246
625.6969, 9.430664
626.1790, 10.56348
626.6611, 14.80176
627.1432, 19.43066
627.6254, 21.33496
628.1075, 20.72461
628.5896, 20.23828
629.0717, 20.04980
629.5538, 20.62500
630.0359, 24.04199
630.5181, 28.68750
631.0002, 30.59473
631.4823, 26.10645
631.9644, 20.21387
632.4465, 15.09277
632.9286, 11.22168
633.4108, 10.11230
633.8929, 16.70898
634.3750, 21.87109
634.8571, 20.56055
635.3392, 12.29004
635.8214, 8.347656
636.3035, 11.79590
636.7856, 15.50586
637.2677, 15.54297
637.7498, 11.63184
638.2319, 6.593750
638.7141, 4.8827998E-02
639.1962, 5.603516
639.6783, 6.856445
640.1604, 4.849609
640.6425, 4.371094
641.1246, 6.634766
641.6068, 9.255859
642.0889, 11.12109
642.5710, 11.42676
643.0531, 8.862305
643.5352, 1.276367
644.0173, 9.907227
644.4995, 11.43652
644.9816, 8.430664
645.4637, 8.396484
645.9458, 16.49219
646.4279, 22.53125
646.9100, 22.79980
647.3922, 18.03906
647.8743, 17.75098
