##NAMES=Edwindavisite
##RRUFFID=R230005
##IDEAL CHEMISTRY=Cu^2+^((C_2_)^6+^O_4_)(N^3-^H_3_)
##LOCALITY=125' Level, Rowley mine, Maricopa County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Joe Marty
##DESCRIPTION=Radiating clusters of bladed or prismatic grass-green crystals, associated with blue ammineite. Type sample
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R230005
549.4987, 3.209698
549.9808, 1.959785
550.4629, 1.022224
550.9450, 0.9456330
551.4271, 1.533745
551.9092, 2.463428
552.3914, 3.590042
552.8735, 4.613445
553.3556, 4.894867
553.8377, 4.211037
554.3198, 3.429569
554.8019, 2.071106
555.2841, 1.104286
555.7662, 1.149456
556.2483, 1.917015
556.7304, 2.867458
557.2125, 3.796597
557.6946, 4.299938
558.1768, 3.461376
558.6589, 1.343201
559.1410, 3.0823000E-02
559.6231, 0.2948420
560.1052, 1.155319
560.5873, 1.714821
561.0695, 1.991104
561.5516, 1.898003
562.0337, 1.009232
562.5158, 0.1184840
562.9979, 0.2943150
563.4800, 0.2615620
563.9622, 0.2240790
564.4443, 1.197369
564.9264, 2.151150
565.4085, 2.174046
565.8906, 0.6956600
566.3727, 0.1173520
566.8549, 1.342827
567.3370, 2.399323
567.8191, 2.319153
568.3012, 1.533035
568.7833, 0.8006780
569.2654, 0.4494250
569.7476, 0.3915820
570.2297, 0.6593250
570.7118, 1.304161
571.1939, 1.301781
571.6760, 4.3781001E-02
572.1581, 1.239101
572.6403, 1.118206
573.1224, 6.2710002E-02
573.6045, 1.039024
574.0866, 2.215256
574.5687, 3.037464
575.0508, 2.936710
575.5330, 2.233936
576.0151, 1.790871
576.4972, 1.849072
576.9793, 2.041332
577.4614, 1.966118
577.9435, 1.644001
578.4257, 1.357758
578.9078, 0.7512700
579.3899, 0.5821530
579.8720, 1.539082
580.3541, 2.881775
580.8362, 3.702637
581.3184, 3.720715
581.8005, 3.238644
582.2826, 2.469727
582.7647, 1.403309
583.2468, 0.7643130
583.7289, 0.6381000
584.2111, 0.8107150
584.6932, 1.668507
585.1753, 2.556782
585.6574, 2.458626
586.1395, 0.9781040
586.6216, 0.4180790
587.1038, 0.6159550
587.5859, 2.9190000E-02
588.0680, 0.5730090
588.5501, 1.092171
589.0322, 1.457809
589.5143, 1.593437
589.9965, 1.536915
590.4786, 1.480675
590.9607, 1.413944
591.4428, 1.361439
591.9249, 1.395073
592.4070, 1.415543
592.8892, 1.197556
593.3713, 0.8127140
593.8534, 0.6009520
594.3355, 0.9071120
594.8176, 1.497837
595.2997, 1.201530
595.7819, 0.6335870
596.2640, 1.661396
596.7461, 0.6856380
597.2282, 0.8563080
597.7103, 2.300724
598.1924, 3.504623
598.6746, 3.996059
599.1567, 3.019028
599.6388, 1.524719
600.1209, 0.7861330
600.6030, 0.7129100
601.0851, 0.5204510
601.5673, 0.1831400
602.0494, 0.9049570
602.5315, 0.7839320
603.0136, 0.5792080
603.4957, 1.407692
603.9778, 1.183285
604.4600, 0.9457630
604.9421, 1.372231
605.4242, 2.123951
605.9063, 2.452988
606.3884, 2.066044
606.8705, 1.526966
607.3527, 1.847279
607.8348, 3.188454
608.3169, 3.789879
608.7990, 3.100483
609.2811, 2.399902
609.7632, 2.352734
610.2454, 2.700920
610.7275, 3.082565
611.2096, 3.470974
611.6917, 3.720528
612.1738, 3.918625
612.6559, 3.896175
613.1381, 2.846272
613.6202, 0.6832890
614.1023, 0.8802150
614.5844, 0.3611760
615.0665, 1.775978
615.5486, 2.839363
616.0308, 1.308170
616.5129, 0.7580180
616.9950, 2.464561
617.4771, 4.484779
617.9592, 5.332863
618.4413, 4.957138
618.9235, 3.991348
619.4056, 2.729053
619.8877, 1.406334
620.3698, 0.6572270
620.8519, 0.5077740
621.3340, 0.6879770
621.8162, 1.507133
622.2983, 2.316668
622.7804, 2.497864
623.2625, 2.129616
623.7446, 1.706444
624.2267, 1.309641
624.7089, 0.9547820
625.1910, 0.5513150
625.6731, 0.2084060
626.1552, 0.2625120
626.6373, 0.8160190
627.1194, 1.430016
